pheno,all_twin_mae,all_other_mae
cbcl_scr_syn_anxdep_r,2.015985790408526,2.7308805774858884
cbcl_scr_syn_internal_r,3.2966252220248666,4.948186823258724
cbcl_scr_syn_external_r,2.8703374777975132,4.62336997402072
cbcl_scr_syn_aggressive_r,2.2788632326820606,3.5253945879660944
age,0.00888099467140302,0.6766677939103606
mr,3.1121323529411766,3.9264435055790274
attn,2.1207815275310833,2.846102791982453
