seed,family_percentage,leak,pheno,r
0,1.0,True,age,0.23014615362986734
0,1.0,False,age,0.22773285502753368
0,1.0,True,attn,0.0675809075921856
0,1.0,False,attn,0.047752263535586446
0,1.0,True,mr,0.1910422086126974
0,1.0,False,mr,0.18784404919453576
0,0.9,True,age,0.23535525693820042
0,0.9,False,age,0.21621955093070577
0,0.9,True,attn,0.05526937678930957
0,0.9,False,attn,0.00770553207345593
0,0.9,True,mr,0.17385015330252734
0,0.9,False,mr,0.16780539933041477
0,0.8,True,age,0.19927007474832462
0,0.8,False,age,0.15429371805477468
0,0.8,True,attn,0.04541747080975574
0,0.8,False,attn,0.047009386862948005
0,0.8,True,mr,0.1603346491375466
0,0.8,False,mr,0.16405688513027672
0,0.7,True,age,0.1886892082724915
0,0.7,False,age,0.20686223202595025
0,0.7,True,attn,0.10125402799317836
0,0.7,False,attn,0.07056860345069757
0,0.7,True,mr,0.16792506846733538
0,0.7,False,mr,0.1789510183532527
0,0.6,True,age,0.20966756112790913
0,0.6,False,age,0.1968438315360149
0,0.6,True,attn,0.11216365981047091
0,0.6,False,attn,0.12002398615905309
0,0.6,True,mr,0.18797172989322636
0,0.6,False,mr,0.1724392577363618
0,0.5,True,age,0.20217569546642755
0,0.5,False,age,0.19653396185465846
0,0.5,True,attn,0.12073780112357772
0,0.5,False,attn,0.13508303576980038
0,0.5,True,mr,0.21665954106670757
0,0.5,False,mr,0.19834072533107952
0,0.4,True,age,0.21815133142363413
0,0.4,False,age,0.20316820760703097
0,0.4,True,attn,0.1396752591109982
0,0.4,False,attn,0.13568920378817245
0,0.4,True,mr,0.22985616624257788
0,0.4,False,mr,0.22028042125267802
0,0.3,True,age,0.24582908132024156
0,0.3,False,age,0.24667020293887876
0,0.3,True,attn,0.13281762427237417
0,0.3,False,attn,0.1365881204988502
0,0.3,True,mr,0.23922822884374884
0,0.3,False,mr,0.24448777869419422
1,1.0,True,age,0.2616211445311017
1,1.0,False,age,0.22220643881287674
1,1.0,True,attn,0.06383885741490296
1,1.0,False,attn,0.0462530852445274
1,1.0,True,mr,0.20377730969404803
1,1.0,False,mr,0.18193070393654467
1,0.9,True,age,0.2178576856414639
1,0.9,False,age,0.20206202780622518
1,0.9,True,attn,0.04134819171260894
1,0.9,False,attn,0.035950895514041424
1,0.9,True,mr,0.16830438639829493
1,0.9,False,mr,0.18536629533979887
1,0.8,True,age,0.2079442244835784
1,0.8,False,age,0.2041408231110363
1,0.8,True,attn,0.07174305542428921
1,0.8,False,attn,0.05514264076026772
1,0.8,True,mr,0.19249313382050948
1,0.8,False,mr,0.19502845997181428
1,0.7,True,age,0.19591561367822605
1,0.7,False,age,0.20020371605842432
1,0.7,True,attn,0.10275939090656065
1,0.7,False,attn,0.08717320606981833
1,0.7,True,mr,0.15805750994553738
1,0.7,False,mr,0.1816338898513408
1,0.6,True,age,0.19523834833850373
1,0.6,False,age,0.20792941340085166
1,0.6,True,attn,0.10102560676157553
1,0.6,False,attn,0.10618202070625075
1,0.6,True,mr,0.180828562671361
1,0.6,False,mr,0.19166026399709826
1,0.5,True,age,0.19691221304067932
