pheno,model_type,leak_twins,seed,r
cbcl_scr_syn_anxdep_r,ridge,True,0,0.0559855584522681
cbcl_scr_syn_anxdep_r,ridge,False,0,-0.0214397281587651
cbcl_scr_syn_anxdep_r,cpm,True,0,0.006013702422771
cbcl_scr_syn_anxdep_r,cpm,False,0,-0.0396860111235767
cbcl_scr_syn_anxdep_r,svr,True,0,0.0469803820656201
cbcl_scr_syn_anxdep_r,svr,False,0,-0.0360096492455447
cbcl_scr_syn_anxdep_r,rf,True,0,-0.0227311246212985
cbcl_scr_syn_anxdep_r,rf,False,0,-0.0169048482539114
cbcl_scr_syn_internal_r,ridge,True,0,0.033726799734115
cbcl_scr_syn_internal_r,ridge,False,0,-0.0583817405854817
cbcl_scr_syn_internal_r,cpm,True,0,0.0584917172977246
cbcl_scr_syn_internal_r,cpm,False,0,0.0328135049174676
cbcl_scr_syn_internal_r,svr,True,0,0.0401234559546059
cbcl_scr_syn_internal_r,svr,False,0,-0.0555827173963218
cbcl_scr_syn_internal_r,rf,True,0,0.0330859056579631
cbcl_scr_syn_internal_r,rf,False,0,0.0341141468871346
cbcl_scr_syn_external_r,ridge,True,0,0.0379040539348601
cbcl_scr_syn_external_r,ridge,False,0,-0.0130721018893847
cbcl_scr_syn_external_r,cpm,True,0,0.0687799204638602
cbcl_scr_syn_external_r,cpm,False,0,0.0492907644452448
cbcl_scr_syn_external_r,svr,True,0,0.0462959795229567
cbcl_scr_syn_external_r,svr,False,0,-0.0201985578214031
cbcl_scr_syn_external_r,rf,True,0,0.0348235065159657
cbcl_scr_syn_external_r,rf,False,0,0.0316393889271688
cbcl_scr_syn_aggressive_r,ridge,True,0,-0.0008721584373287
cbcl_scr_syn_aggressive_r,ridge,False,0,-0.0553025516729936
cbcl_scr_syn_aggressive_r,cpm,True,0,0.0339138810824899
cbcl_scr_syn_aggressive_r,cpm,False,0,0.0162139322380388
cbcl_scr_syn_aggressive_r,svr,True,0,0.0052120241735429
cbcl_scr_syn_aggressive_r,svr,False,0,-0.0551190963234819
cbcl_scr_syn_aggressive_r,rf,True,0,0.017215632530985
cbcl_scr_syn_aggressive_r,rf,False,0,-0.0109852518280856
age,ridge,True,0,0.2082813318618988
age,ridge,False,0,0.1567703472246337
age,cpm,True,0,0.1975942763452098
age,cpm,False,0,0.1555196858213555
age,svr,True,0,0.2432657178930547
age,svr,False,0,0.175550825213953
age,rf,True,0,0.1142254698313003
age,rf,False,0,0.0926617538574034
mr,ridge,True,0,0.1608008249439369
mr,ridge,False,0,0.1548597842351294
mr,cpm,True,0,0.1367438422975223
mr,cpm,False,0,0.1338356544755324
mr,svr,True,0,0.1685563238154653
mr,svr,False,0,0.1588128377868602
mr,rf,True,0,0.1216426102396838
mr,rf,False,0,0.1063896494224158
attn,ridge,True,0,0.0536703057158488
attn,ridge,False,0,0.0113365275352361
attn,cpm,True,0,0.077289469784637
attn,cpm,False,0,0.0725297093510326
attn,svr,True,0,0.0840165427184369
attn,svr,False,0,0.0487029999385195
attn,rf,True,0,0.0441897789331083
attn,rf,False,0,0.0929848578845854
cbcl_scr_syn_anxdep_r,ridge,True,1,0.0374207253598192
cbcl_scr_syn_anxdep_r,ridge,False,1,-0.0096436674824942
cbcl_scr_syn_anxdep_r,cpm,True,1,0.0008015267130195
cbcl_scr_syn_anxdep_r,cpm,False,1,-0.0373766718225377
cbcl_scr_syn_anxdep_r,svr,True,1,0.0230026620260088
cbcl_scr_syn_anxdep_r,svr,False,1,-0.026193648243797
cbcl_scr_syn_anxdep_r,rf,True,1,0.018172918023074
cbcl_scr_syn_anxdep_r,rf,False,1,-0.0178419009725191
cbcl_scr_syn_internal_r,ridge,True,1,0.0224478143601288
cbcl_scr_syn_internal_r,ridge,False,1,-0.0280547457507558
cbcl_scr_syn_internal_r,cpm,True,1,0.0512164122825629
cbcl_scr_syn_internal_r,cpm,False,1,0.015250533669125
cbcl_scr_syn_internal_r,svr,True,1,0.0328674966217995
cbcl_scr_syn_internal_r,svr,False,1,-0.0358037039618789
cbcl_scr_syn_internal_r,rf,True,1,0.0519602324118805
cbcl_scr_syn_internal_r,rf,False,1,0.0334288900215965
cbcl_scr_syn_external_r,ridge,True,1,0.0444861990842913
cbcl_scr_syn_external_r,ridge,False,1,0.0026698064536775
cbcl_scr_syn_external_r,cpm,True,1,0.0799422724085419
cbcl_scr_syn_external_r,cpm,False,1,0.0545142295809723
cbcl_scr_syn_external_r,svr,True,1,0.0555139017550307
cbcl_scr_syn_external_r,svr,False,1,0.0010272318783463
cbcl_scr_syn_external_r,rf,True,1,0.0216098867709836
cbcl_scr_syn_external_r,rf,False,1,0.0353106856593893
cbcl_scr_syn_aggressive_r,ridge,True,1,0.0084958034666216
cbcl_scr_syn_aggressive_r,ridge,False,1,-0.0527837691526606
cbcl_scr_syn_aggressive_r,cpm,True,1,0.0438786975942959
cbcl_scr_syn_aggressive_r,cpm,False,1,0.0206026229989931
cbcl_scr_syn_aggressive_r,svr,True,1,0.0096243341263821
cbcl_scr_syn_aggressive_r,svr,False,1,-0.044147015224598
cbcl_scr_syn_aggressive_r,rf,True,1,0.0272712223133455
cbcl_scr_syn_aggressive_r,rf,False,1,0.0582215311740061
age,ridge,True,1,0.2249971092695932
age,ridge,False,1,0.1670949523481419
age,cpm,True,1,0.1921177776746434
age,cpm,False,1,0.1593313632336757
age,svr,True,1,0.2365578756986659
age,svr,False,1,0.1703734715048159
age,rf,True,1,0.1009621576866645
age,rf,False,1,0.1189353359169389
mr,ridge,True,1,0.1586609980257488
mr,ridge,False,1,0.1336946218585426
mr,cpm,True,1,0.1380587398693865
mr,cpm,False,1,0.1058761407050432
mr,svr,True,1,0.1676791461678284
mr,svr,False,1,0.1390550403018844
mr,rf,True,1,0.1271978513591543
mr,rf,False,1,0.0455673040659117
attn,ridge,True,1,0.0694346180043533
attn,ridge,False,1,0.0286314785145191
attn,cpm,True,1,0.0936903471096226
attn,cpm,False,1,0.0686536010866445
attn,svr,True,1,0.0921161764500922
attn,svr,False,1,0.0434700947992452
attn,rf,True,1,0.0662616361241153
attn,rf,False,1,-0.0083682412074878
cbcl_scr_syn_anxdep_r,ridge,True,2,0.0287970882771181
