pheno,dataset,seed,leakage_type,r,q2,r_yp
age,abcd,54.0,leak_covars,0.24124480568832865,0.03804568156265076,0.9969453093515378
attn,hbn,61.0,leak_covars,0.03177373706232712,-0.13357933762105922,0.9735103169628747
attn,pnc,69.0,leak_covars,-0.017453193974242314,-0.1659786197904376,0.9667065257067738
attn,hbn,53.0,leak_covars,-0.021412112713653786,-0.16910501105612008,0.9701192943479489
mr,abcd,94.0,leak_covars,0.2503445052752457,0.06004737173591834,0.9949937265867412
age,hbn,77.0,leak_covars,0.7428380008234066,0.5477990637306989,0.9971136985613144
age,hcpd,68.0,leak_covars,0.784496776204867,0.6111557825102754,0.9960284510130111
attn,hbn,77.0,leak_covars,0.0006116163603071954,-0.15371533290722872,0.9684449813852118
attn,abcd,11.0,leak_covars,0.10929901002598998,-0.09439743799115541,0.9888959075630981
attn,abcd,8.0,leak_covars,0.106398703719862,-0.09455803410649777,0.989107578503334
attn,abcd,71.0,leak_covars,0.11090375845360853,-0.09656256222541892,0.9890935078298692
age,abcd,93.0,leak_covars,0.23358160256872726,0.03159031769673526,0.9977076568146981
mr,pnc,41.0,leak_covars,0.232024892162892,0.016427271612298733,0.9850952990191292
mr,pnc,12.0,leak_covars,0.2630893689252387,0.04252567701162269,0.9841702808377647
mr,hbn,87.0,leak_covars,0.25689645458543703,0.02876673395272311,0.9187134585253073
attn,hcpd,1.0,leak_covars,-0.051241440815010204,-0.14944187951219012,0.9537409642246275
attn,pnc,96.0,leak_covars,-0.011909740229493466,-0.16454415732404204,0.9675414033559908
attn,abcd,39.0,leak_covars,0.11802582305476268,-0.09198603336944866,0.9896273232192189
mr,abcd,12.0,leak_covars,0.24762241090984205,0.05858842286573529,0.994543050553615
mr,pnc,47.0,leak_covars,0.24584267909495405,0.025037177516104903,0.9835315035709069
attn,hbn,65.0,leak_covars,-0.009708143760491958,-0.1689661980456898,0.9725322133360886
attn,abcd,90.0,leak_covars,0.11864933707517002,-0.08974856457353586,0.9897677768298441
age,pnc,73.0,leak_covars,0.6346293765613764,0.39925514530959616,0.997461871795292
mr,hcpd,4.0,leak_covars,0.20942474715353362,-0.004840506545778833,0.9627371418884165
age,pnc,44.0,leak_covars,0.6274426596256303,0.39107653470384307,0.9979850544583571
age,pnc,18.0,leak_covars,0.6309999406608764,0.3946502284683526,0.997863312350302
attn,pnc,91.0,leak_covars,-0.00046366688453949997,-0.1492764412144063,0.9632362169665477
attn,hcpd,90.0,leak_covars,-0.03333356130385383,-0.16599176892622558,0.9599801845764953
mr,pnc,50.0,leak_covars,0.2777325311659131,0.05502960072620722,0.984010446177633
age,hbn,0.0,leak_covars,0.7461415645652217,0.5511022175917691,0.9971446676494324
age,pnc,26.0,leak_covars,0.6209000614845537,0.3833755871355591,0.9975433864982414
mr,pnc,49.0,leak_covars,0.245500638374217,0.02518591731201625,0.9842892486059737
mr,pnc,25.0,leak_covars,0.24865886986505809,0.028420618328579672,0.9841834981774137
