pheno,dataset,seed,leakage_type,r,q2,r_coef,feat_overlap,r_yp
attn,hcpddti,73.0,leak_covars,-0.008599828613905569,-0.13989044357753988,0.9494731194238669,0.7872296173044925,0.9232692799602412
mr,hcpddti,88.0,leak_covars,0.27849195859412856,0.07749361947797573,0.9922352454790335,0.9915286869464767,0.9998754516082398
attn,hcpddti,3.0,leak_covars,0.06330621304527768,-0.11318497963536767,0.9416279027710829,0.8078953408308469,0.9261801078363929
age,hcpddti,33.0,leak_covars,0.724229122317606,0.5242770400649039,0.9976271056496179,0.9951607328033184,0.9991145406544253
mr,hcpddti,7.0,leak_covars,0.29478098099474376,0.08583509700674297,0.8467822186234611,0.991174213353799,0.5310116343324636
age,hcpddti,61.0,leak_covars,0.7168333848646304,0.5136887791298723,0.9977577888914244,0.9932167083184577,0.9986667834922358
mr,hcpddti,61.0,leak_covars,0.39479716861261716,0.15537098194686683,0.9936518593856298,0.9907443116081759,0.9995277049571115
age,hcpddti,46.0,leak_covars,0.7249918619312251,0.5252391638043257,0.9970239289941633,0.9964801126363957,0.9982089483787776
mr,hcpddti,27.0,leak_covars,0.3710676776189637,0.137653501679605,0.9952478056525204,0.9914147069802165,0.9993670819228716
attn,hcpddti,16.0,leak_covars,0.05633462136802693,-0.11716697161637901,0.939426106762672,0.7960631723506523,0.9099352241303699
mr,hcpddti,36.0,leak_covars,0.2699024233106402,0.06953430253744819,0.963151229140847,0.9872241579558653,0.8746241449377871
attn,hcpddti,9.0,leak_covars,0.08883775075626274,-0.08190395445383603,0.9331320723548794,0.8087818696883853,0.9313127236386238
mr,hcpddti,35.0,leak_covars,0.3929192709717074,0.1539422817905317,0.9952286875214646,0.9895522388059701,0.9996818921231845
age,hcpddti,27.0,leak_covars,0.7225271528112642,0.5219790624825842,0.9968790668655892,0.9945111492281303,0.9985753902673508
age,hcpddti,36.0,leak_covars,0.7213144678405511,0.520294224215268,0.9977572032004516,0.9950354609929078,0.9987710296015113
age,hcpddti,75.0,leak_covars,0.7264709324450186,0.527642102349307,0.9976261079719492,0.9953917050691244,0.9986466589351143
age,hcpddti,99.0,leak_covars,0.7275908608847937,0.5291719717145869,0.997424170511431,0.9932021466905188,0.9984167590352792
age,hcpddti,71.0,leak_covars,0.7287711519653772,0.5308426142280058,0.9978753040681688,0.99644128113879,0.9987964773233737
mr,hcpddti,28.0,leak_covars,0.2791456293103661,0.07711219709852457,0.9956205170875609,0.9914728682170543,0.9995384125535932
mr,hcpddti,77.0,leak_covars,0.1253943882795635,0.008313953641076788,0.9731634324776558,0.9903474903474904,0.7939595163529269
age,hcpddti,20.0,leak_covars,0.7133032293054176,0.5087949577981798,0.9971248015293823,0.9936775553213909,0.9987760895565018
age,hcpddti,23.0,leak_covars,0.7361036045032069,0.5413882606224605,0.9984667087432717,0.9964701729615248,0.9989880247043946
mr,hcpddti,70.0,leak_covars,0.36224908983312737,0.13099965958274684,0.9955493193018953,0.9887934254762795,0.9997488059265532
mr,hcpddti,40.0,leak_covars,0.34782831762658684,0.12029810630058935,0.9977603557756584,0.9926315789473684,0.9997977902414644
attn,hcpddti,71.0,leak_covars,0.05687187959646549,-0.12601795559307938,0.9409331757507123,0.8168480832938949,0.9371841490408195
age,hcpddti,93.0,leak_covars,0.7144982610225773,0.5103166302442032,0.9979713950059249,0.997867045858514,0.9989958306240799
mr,hcpddti,38.0,leak_covars,0.3630336260562894,0.12564940221700682,0.8787019649143601,0.9881040892193309,0.96039531737425
attn,hcpddti,88.0,leak_covars,0.047151009239752864,-0.14058274454628128,0.9434982001337624,0.8030199039121483,0.9317412167705346
attn,hcpddti,40.0,leak_covars,0.0793842091563689,-0.07662184855153198,0.934515760822741,0.7918025151374011,0.9295020173301909
mr,hcpddti,80.0,leak_covars,0.30062086977228464,0.08895265578660894,0.9970631656665833,0.9851145038167939,0.9996699385928854
age,hcpddti,91.0,leak_covars,0.7254164573074324,0.5259732573428197,0.9984206316637598,0.996832101372756,0.9988606294312888
attn,hcpddti,28.0,leak_covars,0.1430544771720262,-0.06154240202767647,0.9508710464747155,0.820842255531763,0.9443138379192717
mr,hcpddti,73.0,leak_covars,0.30455523859360295,0.0912673411183531,0.8317629282553316,0.9930097087378641,0.9679367275984272
mr,hcpddti,24.0,leak_covars,0.2873066317068533,0.07821722493804661,0.9858099369251637,0.9922480620155039,0.8493778777297754
mr,hcpddti,44.0,leak_covars,0.3874222379822146,0.14925707721878811,0.997317017143512,0.992388546574846,0.9997691004491527
age,hcpddti,37.0,leak_covars,0.7183856073199988,0.5160535981359399,0.9983618727335862,0.9950582421461348,0.9988747522654241
attn,hcpddti,98.0,leak_covars,0.08648350722023347,-0.08404102227457577,0.9287981103874909,0.7904317386231039,0.9317510948007859
attn,hcpddti,52.0,leak_covars,0.09384112991908239,-0.08284840344383926,0.9432305565986242,0.8032401972293965,0.9234992435071635
mr,hcpddti,4.0,leak_covars,0.33946829232285686,0.11123155253760775,0.8680230332374888,0.9875141884222475,0.9697456753880062
attn,hcpddti,65.0,leak_covars,0.036183994490801376,-0.13895027101122337,0.918781799152916,0.8110712684894666,0.9099851374275806
mr,hcpddti,10.0,leak_covars,0.36435871016716775,0.1325338888416493,0.9900462222686304,0.9870942510754791,0.9991408281782531
attn,hcpddti,85.0,leak_covars,0.07886876781814835,-0.09203853283627184,0.9363615402082683,0.8162747810050714,0.9300633555865107
attn,hcpddti,31.0,leak_covars,0.057249533399219704,-0.1164741688733204,0.9382587819049318,0.8065033203572246,0.928558615422709
age,hcpddti,89.0,leak_covars,0.7304421036141825,0.5334418025492117,0.998300958215788,0.9964093357271095,0.999102439829865
mr,hcpddti,18.0,leak_covars,0.39078839752707034,0.1516175042538429,0.997334762739779,0.9855238095238095,0.9996458291541772
attn,hcpddti,39.0,leak_covars,0.05890572097908292,-0.13235297538217505,0.947711636210922,0.8023202911737943,0.9289252540862579
attn,hcpddti,29.0,leak_covars,0.05186859313196979,-0.11069564261685416,0.9297096832946657,0.8247021081576535,0.9272131089906595
attn,hcpddti,41.0,leak_covars,0.066110408441158,-0.11010435031861232,0.934478836359344,0.8026733121884911,0.935329402458951
attn,hcpddti,34.0,leak_covars,-0.03673689114933207,-0.1992723185569254,0.9171446842444225,0.8255280073461891,0.9114964355965884
attn,hcpddti,27.0,leak_covars,0.08384391557374947,-0.10750410924199061,0.9408737867608173,0.7769482034531031,0.9305742512022357
age,hcpddti,73.0,leak_covars,0.7253003401471169,0.5259461925196361,0.9974681119567219,0.9964323938637174,0.9984790388932171
attn,hcpddti,89.0,leak_covars,0.048366794531483966,-0.1334639562353943,0.9435226395302023,0.7996727442730248,0.9246248155236023
attn,hcpddti,49.0,leak_covars,0.10054927077158163,-0.07825457907430344,0.9397279368196976,0.8074356530028599,0.925341115350273
mr,hcpddti,15.0,leak_covars,0.3434772374512239,0.1173393453253938,0.9960011497033998,0.9929988331388565,0.9998339754489897
mr,hcpddti,71.0,leak_covars,0.391794499143238,0.15276035919539788,0.9971422549722307,0.9933954933954934,0.9993302958833795
age,hcpddti,28.0,leak_covars,0.7213318933482422,0.5201547102100379,0.9977270439494063,0.9971550497866287,0.9988100576879797
mr,hcpddti,64.0,leak_covars,0.30240990939536316,0.09041875259335674,0.8591907896023839,0.9926612591734261,0.9655241394367048
attn,hcpddti,19.0,leak_covars,0.054604868947476626,-0.12310921754379844,0.9432302059803239,0.8154618912426294,0.9254112499011209
mr,hcpddti,17.0,leak_covars,0.30921654861883885,0.09364381630764673,0.9964470885232071,0.9893186003683241,0.9994474293080037
age,hcpddti,74.0,leak_covars,0.7201979668214481,0.518500250408699,0.9974272919979829,0.9953835227272727,0.9987046207162374
attn,hcpddti,84.0,leak_covars,0.1030628737901087,-0.07314884324621485,0.9248575549214332,0.7967295026118556,0.8928683129697662
attn,hcpddti,87.0,leak_covars,0.07917347467678995,-0.08255123765558636,0.9372316281728492,0.8059456928838952,0.9196963473078076
mr,hcpddti,96.0,leak_covars,0.29807029362737497,0.08879216355002162,0.994101980986796,0.9907341411261582,0.9993617820854998
age,hcpddti,5.0,leak_covars,0.7279696789037093,0.5298787997370771,0.9960342468482073,0.997158081705151,0.9981891346424728
mr,hcpddti,13.0,leak_covars,0.37293088642168476,0.13907167982152646,0.995091159518358,0.9895052473763118,0.999780495955035
age,hcpddti,72.0,leak_covars,0.726207033126286,0.5272010518837985,0.9974033604860081,0.995718872636461,0.9986245283188709
mr,hcpddti,25.0,leak_covars,0.3055671210396075,0.09224655853391783,0.9944721279630473,0.9879424348502528,0.9999178401762931
age,hcpddti,66.0,leak_covars,0.7199349165924066,0.5182913319700935,0.9956156034372615,0.9968901174844506,0.9974790622268747
age,hcpddti,2.0,leak_covars,0.734758438296583,0.5393867622091963,0.9978563104249609,0.9957597173144876,0.9987693799527045
age,hcpddti,54.0,leak_covars,0.7302862454801575,0.5323865899456404,0.9981600178902704,0.9954063604240283,0.9989318087182921
attn,hcpddti,55.0,leak_covars,0.08675121392218837,-0.10348811219040766,0.9433046831005897,0.8047882136279927,0.9288670051447946
attn,hcpddti,43.0,leak_covars,0.07376229288706387,-0.10752854081429919,0.9173654387928204,0.8041722745625841,0.8960840395701581
attn,hcpddti,54.0,leak_covars,0.09838612058458779,-0.06333878641869917,0.9188332428737374,0.8002745367192862,0.8717078896465652
mr,hcpddti,48.0,leak_covars,0.23998742102795456,0.05600533436253008,0.9892789460115997,0.9899419729206963,0.9996052054465818
mr,hcpddti,63.0,leak_covars,0.3479494804848098,0.11868119554595014,0.9933872201456359,0.9914096056228036,0.9980293869226667
mr,hcpddti,32.0,leak_covars,0.31364709583818634,0.09776494869526275,0.995309750408992,0.9936558287073751,0.9995995692015182
age,hcpddti,78.0,leak_covars,0.7096178700167091,0.5034527155241031,0.9975778614502353,0.9936708860759493,0.998692091446194
mr,hcpddti,33.0,leak_covars,0.2889340597398427,0.08250015190424587,0.9964850690776458,0.9936990363232023,0.9994192229727554
attn,hcpddti,46.0,leak_covars,0.041566669204841165,-0.13956478693967722,0.9377041202819504,0.8113604488078542,0.9266480131389141
age,hcpddti,67.0,leak_covars,0.7147952652943379,0.5106358017661881,0.9959666021785741,0.9961484593837535,0.9982117872609076
attn,hcpddti,14.0,leak_covars,0.05110868042318876,-0.1386663965794115,0.9398909734259757,0.8235962718799728,0.9427831609677838
age,hcpddti,11.0,leak_covars,0.7249817553446074,0.5253544638015484,0.9978118878876286,0.9968398876404494,0.9987991211458919
attn,hcpddti,69.0,leak_covars,0.07083895064378297,-0.11468535888433662,0.9369348048942454,0.8222076788830716,0.9327246319699799
age,hcpddti,30.0,leak_covars,0.729467689060082,0.5319045831961614,0.9951733232757212,0.9961158192090396,0.9978509564962034
age,hcpddti,8.0,leak_covars,0.7116581844984897,0.5064529210057302,0.9973975722916218,0.9978425026968716,0.9984539698071706
mr,hcpddti,97.0,leak_covars,0.3563953272155358,0.12689083960724412,0.9985036780899982,0.9939278937381404,0.9998352324460331
attn,hcpddti,82.0,leak_covars,0.07147574619942221,-0.10771192793316464,0.9410856469109407,0.7856463878326996,0.9200289466162053
age,hcpddti,15.0,leak_covars,0.7198180152057393,0.5178203282784251,0.9980631488996959,0.9942959001782531,0.9988779863507303
attn,hcpddti,79.0,leak_covars,0.07802476403281826,-0.08992232969118974,0.9323959359727358,0.7800181241504305,0.9217404549557208
age,hcpddti,94.0,leak_covars,0.7250970387246052,0.5255839622490206,0.9981944387152819,0.9965059399021663,0.9988038942644281
mr,hcpddti,52.0,leak_covars,0.40489524636016017,0.16367785063977358,0.9963723517854361,0.9901497241922774,0.9996157063245455
attn,hcpddti,13.0,leak_covars,0.1063550755837708,-0.06233540036240992,0.9362554305115055,0.775557087066391,0.9194125325854641
mr,hcpddti,3.0,leak_covars,0.29239284360679035,0.08428008970819989,0.8746669157700664,0.991492652745553,0.9494211804790034
age,hcpddti,19.0,leak_covars,0.7311822760136601,0.5336503968274777,0.9975684357488491,0.9968242766407904,0.9988805387847235
attn,hcpddti,32.0,leak_covars,0.048295273597670725,-0.14099261495146687,0.940828565100551,0.8036048689138576,0.9303047296732476
attn,hcpddti,53.0,leak_covars,0.029212450076246576,-0.16129182920566176,0.9438092372578916,0.7969392416628598,0.9242463574251575
age,hcpddti,81.0,leak_covars,0.7283687640856797,0.5295305358902656,0.9967595421654928,0.9957627118644068,0.9980119953471919
attn,hcpddti,80.0,leak_covars,0.10326251638368991,-0.09295338353328231,0.9149035277786466,0.7834292289988493,0.8975253250730638
mr,hcpddti,67.0,leak_covars,0.35697009214449416,0.12711616312488794,0.9907071373928356,0.9905771495877503,0.9994456400117637
attn,hcpddti,23.0,leak_covars,0.0718286884664579,-0.10307737111739002,0.9291428290768247,0.8240313653136532,0.8848166495327516
mr,hcpddti,37.0,leak_covars,0.33832106908271853,0.11418541044418962,0.9932886934399304,0.9910956252419667,0.9996016708827089
attn,hcpddti,75.0,leak_covars,0.11581676184750403,-0.07754940791709242,0.9487153985851433,0.8027939464493598,0.9304574065211386
attn,hcpddti,22.0,leak_covars,0.06451232151037628,-0.12280538025089771,0.9404324974025694,0.7874293785310734,0.9340543883625816
attn,hcpddti,81.0,leak_covars,0.06834642600983895,-0.1384735919811595,0.9398286688998846,0.8092679650772331,0.9429366944101473
mr,hcpddti,89.0,leak_covars,0.37126297778739337,0.13768204053445343,0.9909718392448662,0.9937694704049844,0.9992667523940689
mr,hcpddti,58.0,leak_covars,0.3138469973913521,0.0977032491924339,0.9891687681169619,0.9937548790007806,0.9995108847895944
mr,hcpddti,90.0,leak_covars,0.3454231230393933,0.11854159497391625,0.9966023058559572,0.9946524064171123,0.9994598021356167
attn,hcpddti,24.0,leak_covars,0.06698298410739506,-0.12226747679444583,0.9409720581199662,0.7946087786259542,0.9258959280179738
age,hcpddti,76.0,leak_covars,0.7357943344255633,0.5409596038589011,0.997572744008756,0.9971570717839374,0.9987023015712104
mr,hcpddti,92.0,leak_covars,0.3493215650830944,0.12064963592231781,0.9942503975420997,0.9894736842105263,0.9995606232368355
age,hcpddti,77.0,leak_covars,0.7254494596606429,0.5260717648215085,0.9983844922023918,0.9964776329693554,0.998618200351357
mr,hcpddti,76.0,leak_covars,0.3530602860512608,0.12390304488011727,0.9967862948346095,0.9901845308205732,0.9991598018223694
age,hcpddti,87.0,leak_covars,0.7166372360752182,0.5133734660356766,0.9983615447002492,0.9971479500891266,0.998911501258311
mr,hcpddti,30.0,leak_covars,0.3931862988725379,0.15421802028747333,0.9953094628175091,0.9935849056603774,0.9992984876576831
mr,hcpddti,31.0,leak_covars,0.24909507278237614,0.06179439994407865,0.9968763081769992,0.9904038384646141,0.9987230295534258
attn,hcpddti,70.0,leak_covars,0.06060743516119566,-0.12124489601637167,0.9418474709562106,0.8204583038034491,0.9124850140145411
mr,hcpddti,78.0,leak_covars,0.3399630643258632,0.10424732020694794,0.9967399335218841,0.98896499238965,0.9995728307863151
age,hcpddti,82.0,leak_covars,0.7265817748472903,0.5278810249670977,0.9971234770636463,0.99644128113879,0.9984950167722018
attn,hcpddti,56.0,leak_covars,0.04262231445035217,-0.13264028093556446,0.942995675131023,0.7775756197407323,0.9226760001391767
age,hcpddti,97.0,leak_covars,0.7136121893415831,0.5090186258203686,0.9971515672808807,0.9961739130434782,0.9985083029958901
age,hcpddti,69.0,leak_covars,0.7381814516199149,0.5445886541676279,0.998540777319354,0.9964589235127479,0.9990586209397019
mr,hcpddti,6.0,leak_covars,0.3774289695173494,0.14078623496812737,0.9968542190144172,0.9904543718976708,0.9995671735008579
age,hcpddti,32.0,leak_covars,0.7395801307433828,0.5461548924697983,0.9978978998019099,0.9964589235127479,0.9987480278390051
age,hcpddti,10.0,leak_covars,0.7350354317006372,0.5399658768009967,0.9972810057614557,0.9956600361663652,0.9985435365425412
mr,hcpddti,99.0,leak_covars,0.40148906995527317,0.15960873525557717,0.9957739359242027,0.9802754000744325,0.9993999348154187
attn,hcpddti,18.0,leak_covars,0.09099966897364785,-0.07683666686876678,0.9515960953726835,0.7972139757935601,0.945464517106682
attn,hcpddti,50.0,leak_covars,0.0968815668422758,-0.09423162647083738,0.9482481839017296,0.8007194244604317,0.9350823789770487
mr,hcpddti,55.0,leak_covars,0.34680993610949123,0.1190267310268005,0.99530073991282,0.9875824602250679,0.9994093660572472
attn,hcpddti,44.0,leak_covars,0.04364815235157323,-0.15281530720683278,0.9456593583886423,0.8250887573964497,0.928733447395453
mr,hcpddti,0.0,leak_covars,0.28039229944736443,0.07300974611709476,0.9959154104317686,0.9958816922500936,0.9991242279606545
age,hcpddti,34.0,leak_covars,0.7251278776249529,0.5255977787178343,0.997790296900422,0.994306049822064,0.9987552191213417
attn,hcpddti,51.0,leak_covars,0.1080544778596121,-0.07358808604643174,0.9479170666080868,0.8265474229230407,0.9260519694521292
age,hcpddti,49.0,leak_covars,0.7262470613274782,0.5269556513774296,0.9984444987223327,0.9953102453102453,0.9989583960816195
attn,hcpddti,26.0,leak_covars,0.06255632359619435,-0.11217325382420373,0.9417330190518864,0.8219013237063778,0.9285064419618909
attn,hcpddti,97.0,leak_covars,0.0418143815480428,-0.13153051167106988,0.942136855538131,0.8156942559927635,0.9208757193839899
attn,hcpddti,25.0,leak_covars,0.06167426392274498,-0.10566893345551831,0.9235494317953041,0.8066898349261512,0.9274098961145596
attn,hcpddti,37.0,leak_covars,0.060894999559103505,-0.12608535582314095,0.940956618021812,0.8080304110239962,0.9249717575690521
age,hcpddti,13.0,leak_covars,0.7172524507996484,0.5142617299028921,0.9980559938826026,0.9975106685633002,0.9986232636749669
attn,hcpddti,72.0,leak_covars,0.0950854511241405,-0.09136265742111349,0.9484486391029887,0.8116241672409832,0.9376343612969162
age,hcpddti,96.0,leak_covars,0.7188057657080379,0.5165938323700604,0.9970139434297075,0.9946101329500538,0.9987243201033544
age,hcpddti,51.0,leak_covars,0.739360700399631,0.5464428283962983,0.9979139208018377,0.9957219251336898,0.9986928472373117
attn,hcpddti,62.0,leak_covars,0.06390943756370006,-0.1167869087938318,0.944179935991452,0.8102330050444391,0.9337927645814291
age,hcpddti,9.0,leak_covars,0.7167719977511829,0.5135230520437759,0.9982227227421782,0.9967684021543985,0.9989129558745758
attn,hcpddti,60.0,leak_covars,0.08793015683325442,-0.10385083752341906,0.9531445184265063,0.8211116300794021,0.941124986708717
mr,hcpddti,49.0,leak_covars,0.3401350639413041,0.1149203584083136,0.9920155930851493,0.9935969868173258,0.9996208587824006
attn,hcpddti,76.0,leak_covars,0.10346921789971235,-0.06812782270004902,0.9375813275366501,0.7903335602450646,0.928603961879564
mr,hcpddti,72.0,leak_covars,0.39007873778957375,0.1517202145951051,0.9961431991445191,0.9927007299270073,0.9990400263223398
age,hcpddti,84.0,leak_covars,0.7350338672640646,0.5395545779850464,0.9970769630005756,0.9961511546536039,0.9986687179572837
age,hcpddti,98.0,leak_covars,0.7290987031860852,0.5313894053454518,0.9965889898713645,0.9957219251336898,0.9984335535243316
age,hcpddti,80.0,leak_covars,0.7219381403734271,0.5209535326001016,0.9983740764987052,0.997169143665959,0.9990021844218545
mr,hcpddti,29.0,leak_covars,0.30973599991856493,0.09136740178141511,0.995477763558573,0.9931192660550459,0.9992416197652798
attn,hcpddti,30.0,leak_covars,0.05511623502608765,-0.13081650180370819,0.9171631572999683,0.8064,0.9052708173610062
attn,hcpddti,61.0,leak_covars,0.061558701042565965,-0.12345194885044153,0.9375458294123648,0.8169347209082308,0.9328544505579534
age,hcpddti,43.0,leak_covars,0.7196572266778315,0.517855042216188,0.9986147721731627,0.9961538461538462,0.9991764462022865
age,hcpddti,50.0,leak_covars,0.730058067812738,0.5327337295607493,0.9972454647740139,0.9978662873399715,0.9985595494417564
age,hcpddti,42.0,leak_covars,0.7307244347474573,0.5336109715847333,0.998017417371826,0.9970940791863422,0.9987310870574632
age,hcpddti,83.0,leak_covars,0.7355183713768645,0.5403371044369497,0.997668059307687,0.9958706125258087,0.9985600262338907
attn,hcpddti,58.0,leak_covars,0.0031440646054914727,-0.18608395893998364,0.9172507662986507,0.792469947833976,0.9221931134875319
attn,hcpddti,68.0,leak_covars,0.07209500698514415,-0.12594858316954682,0.9513872122526937,0.8126447429365447,0.9409556347674141
age,hcpddti,3.0,leak_covars,0.7316665742863745,0.5349907396629103,0.9982596955664456,0.9957537154989384,0.998895994920448
attn,hcpddti,74.0,leak_covars,0.055428039173157966,-0.12417665180318127,0.944779069914964,0.7994350282485876,0.9343719379052443
attn,hcpddti,2.0,leak_covars,0.0489925602661016,-0.12044149907154789,0.9312382911125967,0.7872849989113869,0.9273515133906673
mr,hcpddti,86.0,leak_covars,0.3480245513644353,0.11997623596965468,0.8727675701236298,0.9947722180731889,0.9717266725897411
attn,hcpddti,67.0,leak_covars,0.05709533713487875,-0.1032889890963471,0.9265471303718827,0.7959372114496768,0.8989590866939134
age,hcpddti,29.0,leak_covars,0.7403668755149749,0.5477082313108452,0.9984465693543594,0.9960474308300395,0.9991301898378853
age,hcpddti,63.0,leak_covars,0.7177803034784407,0.5149615378855463,0.9974561427209097,0.9975317348377997,0.9987355358888154
age,hcpddti,48.0,leak_covars,0.7330635970286464,0.5371447233529418,0.9969353858031952,0.9961498074903745,0.9984748520298521
age,hcpddti,45.0,leak_covars,0.7258301598364743,0.5267540238091354,0.9978047259658891,0.9971771347918137,0.9988573127697455
attn,hcpddti,33.0,leak_covars,0.048261630094366535,-0.15095658109780397,0.9401626297125832,0.7918994413407822,0.941724249015421
mr,hcpddti,42.0,leak_covars,0.24873042910859092,0.0615085621433199,0.9172778970863693,0.9901146698299723,0.7416925790611767
attn,hcpddti,59.0,leak_covars,0.12579287727439187,-0.05249705867115151,0.9324380794181335,0.8264921233636565,0.9226930746718746
attn,hcpddti,35.0,leak_covars,0.1085606619423548,-0.09263742830802335,0.9497483837279328,0.8340395480225988,0.940165524851624
attn,hcpddti,4.0,leak_covars,0.07520241032718018,-0.11342274019790266,0.9429064389915147,0.7795881421136004,0.9363204452731957
mr,hcpddti,98.0,leak_covars,0.3442824546808195,0.11828650789637618,0.9822497850824163,0.991509069857198,0.8589480696289468
attn,hcpddti,77.0,leak_covars,0.049909316775980705,-0.08037314638818027,0.9244292735672884,0.7947744528807503,0.8884091263691661
attn,hcpddti,91.0,leak_covars,0.03909535370320477,-0.13858332637751625,0.929171465697839,0.806186025812194,0.8921313418554621
attn,hcpddti,8.0,leak_covars,0.045000370357341134,-0.12690230055695695,0.9436793277798042,0.8033511752385385,0.9309277788580818
attn,hcpddti,63.0,leak_covars,0.11555005964272219,-0.0724355449884202,0.9294191492789606,0.7744410346339324,0.8979624859435863
age,hcpddti,21.0,leak_covars,0.7128398286962192,0.5081044868594359,0.9984441500584736,0.9958260869565217,0.9989961997282023
