pheno,dataset,sample_size,resample_seed,perfeat,kfold_seed,leakage_type,r,q2,r_yp,r_gold
mr,abcd,400,3,0.05,8,leak_site,-0.012014977507526498,-0.11499628935356432,0.9077769205052844,-0.00014378753840641183
age,abcd,100,9,0.05,5,leak_site,0.0760609920212099,-0.05004582305252381,0.9127641222004518,0.05583785335866684
attn,hcpd,300,5,0.05,7,leak_site,-0.0013545302853536357,-0.09963654370415997,0.9926290615512374,0.0012299461312150004
age,hbn,200,6,0.05,1,leak_site,0.6679841022993886,0.4388961414832424,0.9866093691247707,0.6706912200472058
attn,abcd,300,2,0.05,3,leak_site,0.13424043860236193,-0.062052218726333264,0.9383763303070324,0.17465411850842996
attn,hbn,300,8,0.05,8,leak_site,0.016790339996224115,-0.11184501263094981,0.9588159689952344,0.02752837200435824
age,hbn,200,2,0.05,5,leak_site,0.6704926156755011,0.4406069946417037,0.9950040127219566,0.6793627244046871
age,hbn,100,4,0.05,7,leak_site,0.5485264219945992,0.2508041805335258,0.9823444168912389,0.5559793471291963
age,hbn,200,2,0.05,1,leak_site,0.6817323532683299,0.4570047138930624,0.9952972706299588,0.6844198356353784
attn,hcpd,100,7,0.05,0,leak_site,-0.17972449447154282,-0.07817343809452759,0.7956815214394832,-0.15829378645327083
attn,hbn,300,0,0.05,6,leak_site,-0.024496261580832044,-0.16201455865095094,0.9860138113928631,-0.04102802788694484
attn,hcpd,300,8,0.05,3,leak_site,-0.011104212726893714,-0.12349916879844236,0.9941321435306218,-0.004979835422776634
age,hbn,200,8,0.05,4,leak_site,0.6485600468176413,0.41362586818843017,0.9877600186463532,0.658734039670421
mr,hbn,200,4,0.05,1,leak_site,0.12446163075490851,0.008671382517906778,0.9950344010333116,0.12987809100146677
attn,abcd,400,4,0.05,3,leak_site,0.08588401635628828,-0.09463385233242105,0.9631772623736472,0.0869753106660549
attn,hbn,400,8,0.05,1,leak_site,-0.012502240895351404,-0.11748823167072575,0.9768269897212818,-0.012686941707238667
mr,hbn,300,6,0.05,9,leak_site,0.1929392020242273,0.03426778932900798,0.9852731685344058,0.215529617218868
attn,hcpd,100,5,0.05,4,leak_site,-0.1400659723774606,-0.05858062724123725,0.9436882609987458,-0.06585106017747805
attn,hbn,400,0,0.05,7,leak_site,0.03362826812955087,-0.1348773782216075,0.9918401187562905,0.015900642244789338
age,hbn,200,6,0.05,0,leak_site,0.6569657420875742,0.4228988053158321,0.9898152294243232,0.6676923210714862
mr,abcd,200,6,0.05,4,leak_site,0.00795223213476228,-0.09612111134127477,0.9536782970209184,0.02395375640319346
mr,hcpd,300,7,0.05,0,leak_site,0.2601717776127906,0.05633184209695685,0.9944759411821102,0.2702548135479001
age,hcpd,400,6,0.05,8,leak_site,0.8306524947304476,0.6884551505268421,0.9858278134791283,0.8244955786293674
attn,hcpd,300,5,0.05,6,leak_site,0.01858144694532049,-0.08993696613115398,0.9904840595296275,0.02083141711834931
age,hcpd,200,0,0.05,8,leak_site,0.7164912715380092,0.5015058623230157,0.9876200108966785,0.7146821557665486
age,hbn,300,2,0.05,3,leak_site,0.71672812624124,0.5070925402572732,0.9972221679956866,0.7168268741332388
age,hbn,400,7,0.05,7,leak_site,0.7002678717757091,0.48618351385419245,0.9980388692781719,0.6967666729786678
mr,hbn,400,6,0.05,6,leak_site,0.209022071358516,0.04043302241179847,0.9890539631799434,0.2209936507384275
age,hcpd,200,4,0.05,4,leak_site,0.8194629227604449,0.6704425000607115,0.9802210717494717,0.8034752945518413
age,abcd,300,8,0.05,5,leak_site,0.0994556587157079,-0.0733697544235079,0.9376707717632423,0.15255681920015415
mr,abcd,200,7,0.05,2,leak_site,-0.0393210669896467,-0.039973632986502805,0.9415863746300284,0.03568959100193193
mr,hbn,400,8,0.05,4,leak_site,0.21769589359970393,0.042643449737265304,0.9922209689570786,0.2268433298582746
mr,abcd,200,4,0.05,3,leak_site,-0.07252624309786622,-0.051617345622164024,0.9731726995377433,-0.049040292263449144
attn,hbn,400,1,0.05,1,leak_site,0.02623352524821577,-0.06088799572430914,0.9870500515475726,0.029926537045843183
mr,hbn,300,7,0.05,4,leak_site,0.22722626834117934,0.047525551646728226,0.9939128923864541,0.23637363761754254
mr,hcpd,100,5,0.05,0,leak_site,0.2893861003956636,0.08264981076274491,0.9089724701595138,0.2430307195260721
attn,hcpd,100,0,0.05,2,leak_site,-0.05742696429480777,-0.04249148546210746,0.9865714402662661,-0.07450110588598544
mr,hbn,100,7,0.05,8,leak_site,0.29843833091216154,0.0796467308934935,0.9935045587728155,0.304089279136976
attn,abcd,100,0,0.05,2,leak_site,0.20104184478773635,0.03622057657000044,0.9286081369386388,0.18871382889151303
attn,abcd,300,2,0.05,6,leak_site,0.23144342825519093,0.021454658418963435,0.9559723588597698,0.2707301942644497
attn,hcpd,300,1,0.05,1,leak_site,0.0689219712838205,-0.06997823189792052,0.9939904222497208,0.0679937190320008
attn,abcd,300,3,0.05,6,leak_site,0.2233401613848611,0.029734761639860552,0.9755164211004105,0.21948635093063143
attn,abcd,400,3,0.05,4,leak_site,0.0697329928516222,-0.08500557737593528,0.963491163077609,0.09710660668493722
mr,hbn,200,5,0.05,2,leak_site,0.03432249242974586,-0.01877061607425068,0.9667315191439607,0.05770881046759226
age,hbn,300,1,0.05,2,leak_site,0.6748877809283209,0.44872623678227763,0.9979552029277603,0.6786452668761962
age,hbn,300,4,0.05,0,leak_site,0.711380336105764,0.4894714560267365,0.9966631124250377,0.7056106415195896
mr,hbn,300,9,0.05,2,leak_site,0.2862249683115358,0.0814050467800429,0.9920149970960926,0.27987063260114536
age,abcd,100,2,0.05,5,leak_site,0.011115771078377124,-0.14991667373568363,0.8506454128244088,0.059933476120823316
mr,hcpd,100,8,0.05,1,leak_site,0.12659867920314302,0.00827797839895661,0.9841416681559879,0.13210760032945815
mr,hcpd,100,8,0.05,6,leak_site,0.18573326104978888,0.026290617446674824,0.8904858686363828,0.12209345151884499
age,hbn,400,4,0.05,3,leak_site,0.6774827760234614,0.45441052790809255,0.9982838113200458,0.6745235081103375
age,hcpd,300,6,0.05,1,leak_site,0.7909293483560194,0.6227283120367348,0.99823674180116,0.7917321362976572
age,abcd,300,0,0.05,9,leak_site,-0.08975405460124976,-0.19469222163442423,0.9885241470650303,-0.09289946073848206
attn,abcd,400,0,0.05,0,leak_site,0.21040534735852084,-0.0023327376984745296,0.9861702700638414,0.2293454363149811
age,hbn,400,5,0.05,0,leak_site,0.6515263441731215,0.42237424976326776,0.9973280549289194,0.6518543984000075
mr,hbn,200,8,0.05,9,leak_site,0.19774160187072365,0.038863037981812676,0.9918383807284576,0.1960483545419251
age,abcd,100,4,0.05,2,leak_site,0.1334960797342918,-0.003867541643158834,0.9334606271452315,0.08037080892816427
age,hcpd,100,9,0.05,6,leak_site,0.756415400786185,0.542841768004364,0.9854830882032267,0.7239566001406278
mr,hbn,100,3,0.05,9,leak_site,0.19670673630453037,0.038272347158048725,0.9940307057287906,0.18335277410559453
age,abcd,300,3,0.05,9,leak_site,0.08378506071956847,-0.060656782210400495,0.9548667634963843,0.08524013333665566
age,abcd,200,2,0.05,6,leak_site,0.11673950679361558,-0.07156670214603156,0.960048540004533,0.11046974278024997
mr,abcd,400,5,0.05,9,leak_site,-0.0014016021701729092,-0.11167127375114494,0.9607972924185748,0.03257507344959173
age,hcpd,400,9,0.05,4,leak_site,0.7736016975588199,0.5865076467772987,0.9990905201753807,0.7733535703010022
mr,hbn,100,4,0.05,9,leak_site,0.13428806888936132,0.017583329597260722,0.9796518787266135,0.11854957724529025
age,hbn,300,1,0.05,7,leak_site,0.6846433320979034,0.46201554915257426,0.99775277015713,0.6829297766510343
age,abcd,400,1,0.05,7,leak_site,0.1585826775643153,-0.03322870832031821,0.9630150011571071,0.16450650774627085
attn,abcd,300,7,0.05,8,leak_site,-0.02477609528269071,-0.09981666579411153,0.9836041615019205,-0.01741385178001858
age,abcd,200,3,0.05,5,leak_site,0.007154717100155411,-0.05302066212608003,0.9731645683285387,0.010099779239113092
mr,abcd,200,0,0.05,5,leak_site,-0.20545197202634025,-0.09407485606987032,0.9404652025961067,-0.15082805969431248
attn,hcpd,300,3,0.05,6,leak_site,-0.057609998620552196,-0.18388781197601767,0.9556578044915146,-0.0580388132862609
attn,hcpd,300,3,0.05,7,leak_site,-0.05218615653509409,-0.1840503358266059,0.9778621763223403,-0.024800883003662528
mr,abcd,100,8,0.05,3,leak_site,-0.014589401145785386,-0.02255436634673247,0.9735607179081943,-0.029079485924155917
age,hcpd,300,0,0.05,9,leak_site,0.7331428158565441,0.526995545004803,0.9979425712162459,0.729211019631123
age,hbn,100,5,0.05,0,leak_site,0.47435830067411416,0.2219137719725386,0.9933189544507336,0.48611399251629744
age,abcd,300,1,0.05,1,leak_site,0.11740454457554782,-0.07003387703590547,0.9607760987367344,0.15332566449789878
attn,hcpd,400,1,0.05,9,leak_site,0.02685443396226884,-0.13774520124026624,0.9898658819000739,0.020891986790996332
attn,abcd,300,2,0.05,2,leak_site,0.1145813981547229,-0.08755960266183616,0.9454459792547748,0.16887212259197795
mr,hcpd,400,0,0.05,8,leak_site,0.25885343500706987,0.051790701738217426,0.9930721348832723,0.26284039829479766
age,hbn,300,3,0.05,8,leak_site,0.6690223979409148,0.4420414305310433,0.9978260461026763,0.6684055625352175
mr,hcpd,200,1,0.05,8,leak_site,0.2948254762755338,0.0828934239507838,0.9928054955364305,0.3070183298838751
age,hbn,300,7,0.05,7,leak_site,0.6503159019977022,0.41887583399822004,0.9973743354012993,0.6513276713072486
mr,abcd,400,5,0.05,1,leak_site,0.013530928834211363,-0.11802819551049093,0.9300507459152564,0.061881005391964644
mr,hcpd,100,9,0.05,6,leak_site,0.1764263212423347,0.018202513520975572,0.9843572938239673,0.21826560530653097
age,abcd,100,8,0.05,1,leak_site,-0.10238992261318618,-0.14356153642256952,0.7439119510365194,-0.015100107850803731
mr,hbn,400,2,0.05,6,leak_site,0.19816271920583767,0.03394845153502768,0.9904625342257881,0.20513220947984212
attn,abcd,400,4,0.05,0,leak_site,0.0906535800600196,-0.09636521758475247,0.9702683490865852,0.09704623132784947
age,hbn,100,1,0.05,0,leak_site,0.46604781782488996,0.21269650310330668,0.9859636493627213,0.4790357817467319
mr,hcpd,100,8,0.05,9,leak_site,0.16984321575011496,0.024522358839489167,0.9839665697938531,0.19507135219851324
mr,hcpd,300,1,0.05,7,leak_site,0.3004348815667953,0.07733668229067858,0.9938318297741041,0.3230414518805656
mr,abcd,100,0,0.05,2,leak_site,-0.3067096736176157,-0.09956408323826804,0.9518231917739481,-0.2668435006528286
attn,hbn,100,3,0.05,2,leak_site,-0.024428540527391848,-0.02306943163180919,0.9951355702147164,-0.021669664126874846
attn,abcd,400,5,0.05,3,leak_site,0.11310486678406699,-0.07230560582898327,0.9775252680811206,0.11970998462903538
age,hbn,300,8,0.05,6,leak_site,0.6774300745486516,0.4482199790183583,0.9973012801611628,0.6802900933843169
age,hbn,400,9,0.05,6,leak_site,0.698926970669874,0.4858706877306588,0.9927759110166159,0.6988394696714484
mr,hbn,200,1,0.05,5,leak_site,0.19069565053844742,0.0343513307135378,0.9919291825197563,0.1843790988614566
attn,abcd,100,4,0.05,0,leak_site,0.05020357268979411,-0.015600023888747261,0.9569001487747087,0.11389133540388022
mr,hcpd,300,8,0.05,0,leak_site,0.28534534189902594,0.06873868367853297,0.9949286684889195,0.29650964462399293
attn,hcpd,100,3,0.05,0,leak_site,0.006323367384608127,-0.08934715676552707,0.9723217949353654,0.02680666538154916
age,hcpd,100,7,0.05,5,leak_site,0.4974049983043276,0.24262693226442789,0.9769241199244267,0.5073469930682986
mr,hcpd,400,9,0.05,9,leak_site,0.2993490100941855,0.08147669743365293,0.9939945478415088,0.30624422930685885
mr,hcpd,400,7,0.05,6,leak_site,0.29380589606946317,0.07678685790243567,0.994366530508094,0.3060003665533749
attn,hbn,400,6,0.05,8,leak_site,0.02791884021802256,-0.10273571483090649,0.989191513164653,0.01941414964653393
age,abcd,100,0,0.05,2,leak_site,-0.09953187771159414,-0.1738021955633442,0.8899433943177891,-0.07149434271145574
attn,hbn,400,6,0.05,2,leak_site,0.020788768762032582,-0.12160746907364461,0.9907279161562383,0.019385557101703928
attn,hbn,100,5,0.05,3,leak_site,-0.07606671313689212,-0.11719270823306571,0.9755822042026745,-0.09631885592858153
mr,hcpd,400,4,0.05,5,leak_site,0.2915670777256627,0.07539516506028443,0.9948730754239066,0.30184632601247324
attn,abcd,200,7,0.05,5,leak_site,-0.16835034252680836,-0.1347408695073462,0.9730496208206522,-0.15717509105007535
mr,hbn,200,3,0.05,0,leak_site,0.24002886576406882,0.0572460983361861,0.9908258806690085,0.232559770327845
attn,hcpd,300,3,0.05,5,leak_site,-0.040355971076703294,-0.17823263574898252,0.9841727905632927,-0.04190539052712533
attn,hbn,300,1,0.05,8,leak_site,-0.0029679305758946784,-0.13551200185861112,0.9858117669292575,-0.01110760072950326
mr,hbn,400,5,0.05,5,leak_site,0.10856437941559373,-0.0054824172499312596,0.9835755458231941,0.11251865084208235
age,hcpd,200,4,0.05,0,leak_site,0.8222447235332541,0.6710775027592463,0.9933383130122759,0.830550681348376
mr,abcd,300,6,0.05,3,leak_site,0.04835211953245454,-0.09234970643702134,0.9652845496699967,0.05989612223795372
mr,hcpd,300,6,0.05,5,leak_site,0.2717116753435659,0.056943016527687074,0.9942775255498987,0.28114108922433134
age,hbn,400,1,0.05,8,leak_site,0.6925429935150765,0.47517711843782273,0.9977976787982715,0.6952808817250176
mr,abcd,200,5,0.05,0,leak_site,-0.05399216709064308,-0.0317778731966567,0.9537640616651714,-0.07376137806125319
attn,abcd,200,3,0.05,7,leak_site,0.08486064750310793,-0.06098932948316871,0.9755856057282579,0.06858279723754131
mr,hcpd,400,7,0.05,4,leak_site,0.29794310178617334,0.08102751058443192,0.9930358593189238,0.31289675787695315
attn,abcd,400,5,0.05,7,leak_site,0.1058990283723417,-0.055989930166229884,0.9688321635070744,0.1208184769528502
mr,hbn,300,4,0.05,0,leak_site,0.26591879989768913,0.07065973273753223,0.9959242076328715,0.27048575585619733
age,hcpd,400,2,0.05,6,leak_site,0.777257742041557,0.5967933308908124,0.9982910387279601,0.7753435807530153
mr,hbn,400,4,0.05,4,leak_site,0.32600689494510654,0.105521106114561,0.991931242007285,0.3279668083518235
attn,hcpd,200,2,0.05,6,leak_site,-0.12517613162048521,-0.17512302443840144,0.9933559988295612,-0.1318210311317887
mr,abcd,300,9,0.05,9,leak_site,0.09099511958060405,-0.07029350160098913,0.9147798015610342,0.11340904248205251
mr,abcd,200,3,0.05,8,leak_site,-0.034009815280962176,-0.03429068724594719,0.9565162612740642,0.00663867529767187
age,abcd,300,8,0.05,0,leak_site,0.10594949385920117,-0.07836081420289642,0.8816694133980243,0.15656509484865416
age,abcd,300,5,0.05,7,leak_site,0.17042734588614844,-0.01110820111123445,0.9753004756645948,0.18999841768965772
age,abcd,200,3,0.05,6,leak_site,0.06581536809801507,-0.04190653232221986,0.9741301705110886,0.0493492078566852
mr,hcpd,300,1,0.05,3,leak_site,0.29890794081450434,0.07536628424375247,0.9953108444261971,0.3112463059821069
mr,abcd,300,5,0.05,6,leak_site,0.037745618940906535,-0.0430434755087179,0.9256752673299542,0.051960611766694906
attn,abcd,200,8,0.05,5,leak_site,0.028793362157813637,-0.06712703769392148,0.9464001550896001,0.019661897179549997
mr,abcd,100,6,0.05,5,leak_site,-0.16494643455852948,-0.06095060821770981,0.9383057904187108,-0.1203299713695219
age,abcd,400,5,0.05,1,leak_site,0.15496745536615741,-0.026140031369963346,0.9765487796703402,0.16517981989241112
age,abcd,400,0,0.05,5,leak_site,0.018479434635531936,-0.1438656491067125,0.9901212532530238,0.006784543132640628
attn,abcd,300,5,0.05,3,leak_site,0.09945623844372581,-0.0545815632111728,0.9844686383979354,0.09805414592410223
age,abcd,400,3,0.05,9,leak_site,0.1344139814639618,-0.033277084022937053,0.9718718889130727,0.13092796237072665
attn,abcd,200,5,0.05,9,leak_site,0.21917332012262156,0.04714459251961345,0.9892412748166604,0.21377064224581616
age,abcd,100,3,0.05,0,leak_site,-0.11266286108101053,-0.0948766311158844,0.9149834464122741,-0.11778165991658407
attn,abcd,200,1,0.05,5,leak_site,0.0993936308495384,-0.04955199675182853,0.9781008365210547,0.10211993573534933
attn,hcpd,300,6,0.05,1,leak_site,0.0027444936899708276,-0.12178699581815855,0.9917317760596699,-0.0018338421233344015
age,abcd,200,0,0.05,4,leak_site,-0.20013290050272456,-0.21133136994021662,0.963813532675379,-0.21940303247074477
age,abcd,400,3,0.05,2,leak_site,0.0850346198969483,-0.06810700605717512,0.9501269681067654,0.09085322014498846
mr,abcd,400,0,0.05,1,leak_site,-0.0622155589866844,-0.07929819859097087,0.9311282589845575,-0.02044691024714853
attn,hcpd,300,0,0.05,0,leak_site,0.11274384337489476,-0.028369324734984547,0.9933303068860437,0.10239200968321019
mr,abcd,100,7,0.05,9,leak_site,0.019252982998709412,-0.01144568349107633,0.9582222249430734,0.014538037931248231
age,hcpd,300,7,0.05,3,leak_site,0.7311168544787574,0.5260845528862395,0.9978097817242365,0.7325303633035423
mr,abcd,100,7,0.05,7,leak_site,0.01753642040932047,-0.012068645023080027,0.9483193868643942,0.049106871363640794
age,hbn,300,9,0.05,2,leak_site,0.6707040643892671,0.44555036941192283,0.9880652279770823,0.6902105803929153
mr,hbn,100,3,0.05,7,leak_site,0.22641086884907466,0.048044086471257685,0.9894086477400722,0.2153018371800601
attn,hcpd,300,6,0.05,2,leak_site,-0.030611313798033828,-0.14213803355230992,0.994619075205332,-0.03152124486820587
mr,hcpd,300,9,0.05,2,leak_site,0.26318497031029375,0.05172433426186562,0.9907805349523476,0.2854152625559151
attn,hcpd,300,2,0.05,7,leak_site,-0.010415298348726898,-0.12014850234598984,0.9910181464581743,-0.020164029531228596
age,hbn,200,3,0.05,2,leak_site,0.6229754337032625,0.38234603083908214,0.9893838664952539,0.6262666725178168
age,abcd,200,9,0.05,8,leak_site,-0.0013728746480216234,-0.0915294607134165,0.9653502008939397,-0.06982055869563612
mr,hcpd,300,9,0.05,6,leak_site,0.24018907822316243,0.035008494737082785,0.9907110744297776,0.24725232504072941
mr,abcd,400,7,0.05,5,leak_site,0.0879346485335352,-0.004353567329838048,0.9503838704034411,0.11490956266622843
age,abcd,300,9,0.05,9,leak_site,-0.02155515805031167,-0.142109409368937,0.9771959458480675,-0.030705660433659344
mr,abcd,200,0,0.05,1,leak_site,-0.1962086107749862,-0.08240364733241701,0.9344142984113268,-0.1295068280316708
age,hcpd,300,1,0.05,3,leak_site,0.7378606149800877,0.5333002250969294,0.9980904637434352,0.7396593798977328
mr,hbn,100,8,0.05,4,leak_site,-0.0036420428169771112,-0.011321888576482975,0.9702333229327641,0.0038370819147414107
age,hcpd,100,6,0.05,6,leak_site,0.6899682028359571,0.46958590275526957,0.9780409652780251,0.7249595964843545
mr,abcd,400,9,0.05,7,leak_site,0.07208062247441345,-0.056317210009249274,0.9551734666616954,0.07894139634110836
attn,abcd,100,7,0.05,4,leak_site,0.03086576623905785,-0.010465440499287215,0.9492982531891144,0.07548558266834851
attn,hcpd,400,0,0.05,6,leak_site,0.061707343684991985,-0.08334074009111636,0.9962736141204324,0.05788752593093905
age,hcpd,100,1,0.05,0,leak_site,0.6609731293554533,0.42861343157796195,0.9842339102402742,0.6624305157543091
mr,hbn,200,2,0.05,5,leak_site,-0.03862090094474391,-0.06739854259088407,0.9901881788887325,-0.030838152032564608
mr,hbn,200,1,0.05,1,leak_site,0.15980531939946413,0.019019509824274805,0.9944026289286577,0.15917770672647136
age,hcpd,200,6,0.05,9,leak_site,0.748356258139563,0.5512487649813556,0.9963488583789956,0.7515253684015876
attn,abcd,300,6,0.05,4,leak_site,0.03572774115090659,-0.02881930284428469,0.9871079407622284,0.04749637821946998
mr,hcpd,200,0,0.05,1,leak_site,0.273375591138281,0.07386642630889373,0.9953189715539523,0.2774806477860332
age,hcpd,200,3,0.05,0,leak_site,0.7419786186644926,0.5435283053726914,0.9978908700065755,0.7495004852933443
age,abcd,300,4,0.05,0,leak_site,0.14887163214214094,-0.0849145908941249,0.9546654348484561,0.17135634804327646
attn,hcpd,200,3,0.05,2,leak_site,-0.09770838751186325,-0.14612570170954098,0.94170434730583,-0.03093642634986717
mr,hcpd,400,6,0.05,6,leak_site,0.2505263634946858,0.04179110530604069,0.9956271645907396,0.25749890224645955
age,abcd,100,2,0.05,1,leak_site,0.08031593375161859,-0.07954625567613283,0.883797976760632,0.05543166037581963
attn,abcd,300,6,0.05,6,leak_site,0.13678971715827598,0.012897845433826993,0.9885830580132628,0.1451688923267828
attn,abcd,200,1,0.05,7,leak_site,0.0745612397609227,-0.06735486877288577,0.9734362152174239,0.053794654680022765
attn,hbn,300,7,0.05,0,leak_site,0.0009060138897592604,-0.12596741183686366,0.9903134673001357,0.010550624308369066
mr,hcpd,200,2,0.05,0,leak_site,0.22199950773897095,0.019037646646001716,0.9956169982130522,0.21946628594304557
age,hbn,300,1,0.05,6,leak_site,0.6590618836943897,0.42921323899865726,0.9932663998915461,0.6494249764015952
mr,hbn,100,1,0.05,3,leak_site,-0.24663351343727466,-0.08485605039079247,0.9700860489359034,-0.22403597860131758
attn,abcd,300,5,0.05,9,leak_site,0.10164400167117009,-0.0539649022806854,0.9765313356475824,0.10620329512520639
mr,hcpd,400,0,0.05,6,leak_site,0.2838590648293339,0.07128240439897837,0.9933425909728022,0.29582691757036567
mr,abcd,300,6,0.05,6,leak_site,0.08965181200153975,-0.08463056265282809,0.9711258068759948,0.10632519742141562
mr,hcpd,400,7,0.05,9,leak_site,0.2714247874860077,0.06192452683112182,0.9934168889119601,0.2835491847417343
attn,hcpd,300,4,0.05,5,leak_site,0.09972255072704973,-0.05835765879212862,0.9418355584593947,0.11816007211565203
mr,hcpd,100,3,0.05,3,leak_site,0.10563863854038479,0.007102750934268154,0.973244930568289,0.0979532622486426
attn,abcd,200,2,0.05,5,leak_site,0.27361376868008846,0.05188974845294714,0.962272477324722,0.3178895513284995
mr,hbn,400,2,0.05,5,leak_site,0.16202298350453337,0.01683517415814262,0.9866414013174882,0.1698265899249841
attn,hcpd,400,1,0.05,5,leak_site,0.015422854179173127,-0.1267150639329746,0.9876485591151586,0.008226887728043206
age,hcpd,300,5,0.05,4,leak_site,0.754717674771385,0.5602714751631702,0.9987708276484745,0.7545304740677623
attn,hbn,200,9,0.05,2,leak_site,0.06226198013650781,-0.018702617592689652,0.9894883777169371,0.054608042695346894
age,abcd,300,3,0.05,1,leak_site,0.029987132902948636,-0.09571225609915013,0.9496295637362165,0.014260911959231687
age,hcpd,100,8,0.05,5,leak_site,0.6259363811817116,0.38927437619215255,0.9833636738655318,0.6534102557957615
mr,abcd,200,6,0.05,8,leak_site,0.008415812008735516,-0.08906838283267082,0.9327181326049845,0.05451252694982389
attn,hcpd,300,1,0.05,0,leak_site,0.12338540017198331,-0.04087529804666623,0.992415441611238,0.11367618630031587
attn,abcd,300,0,0.05,1,leak_site,0.24992895264714202,0.043198888315599815,0.9855279148931329,0.2482149393388535
attn,hcpd,300,0,0.05,3,leak_site,0.002326727716129444,-0.11313809254672202,0.9949357546906966,0.009792172815026125
mr,abcd,300,6,0.05,7,leak_site,0.039300426456597634,-0.09912273627777379,0.9528822290776111,0.05866357836887974
mr,abcd,400,7,0.05,4,leak_site,0.03139329138382383,-0.028147483291192765,0.8880052008847329,0.04665863644594083
attn,abcd,100,0,0.05,8,leak_site,0.1783280203020242,0.02182843586559391,0.9814085031632652,0.1961127184292031
attn,hcpd,400,4,0.05,6,leak_site,0.04230068828494731,-0.10685188977305171,0.9939355597748125,0.03425538898186341
mr,abcd,200,0,0.05,2,leak_site,-0.24762654866193953,-0.09640577319918586,0.8348967534175578,-0.14788783373812772
age,abcd,200,2,0.05,9,leak_site,0.04771103433123414,-0.11539172961946265,0.9557511216061939,0.025594783556147548
age,abcd,400,1,0.05,1,leak_site,0.12463414458876189,-0.06219362563087261,0.9668531436408183,0.13266533549165901
mr,hbn,100,5,0.05,6,leak_site,-0.38206274267473195,-0.13480679358062586,0.9448835113779835,-0.3104466750269995
age,abcd,400,9,0.05,1,leak_site,-0.030135747065904106,-0.16335667366996987,0.9835524194892624,-0.024470048748169715
attn,hcpd,200,2,0.05,2,leak_site,-0.012393952284037557,-0.08599152191998316,0.9947910509693684,-0.01588897020868769
attn,abcd,100,3,0.05,2,leak_site,0.0940427494017923,-0.005500490546899606,0.9701189715786973,0.09754761596283018
mr,hcpd,300,4,0.05,4,leak_site,0.27624701304016996,0.06488167847493487,0.9938233184146684,0.2888097535231013
age,hcpd,200,8,0.05,9,leak_site,0.7445862774350581,0.5530088389183352,0.9855872416689073,0.7397986752362734
age,abcd,100,8,0.05,8,leak_site,-0.17239548229607374,-0.16298866752735597,0.7494057679617602,-0.09087432183171347
attn,abcd,400,5,0.05,4,leak_site,0.07637906435443576,-0.09221599738873576,0.9723304583335681,0.09954084047783493
age,hcpd,400,3,0.05,0,leak_site,0.8017513439597923,0.6365084562474104,0.9977451481978926,0.8037878966231674
mr,hcpd,300,4,0.05,9,leak_site,0.31575798974440417,0.0957671734778649,0.99545648955414,0.3269395231081479
attn,hbn,200,0,0.05,8,leak_site,-0.015912083528703783,-0.11312130368022344,0.9928280201060974,-0.03917722018232506
age,abcd,300,0,0.05,2,leak_site,-0.06650200027242312,-0.20700366353594313,0.9857609695497183,-0.07213612675069515
age,abcd,200,6,0.05,5,leak_site,0.10524988041078716,-0.047299893186532715,0.9522133413086831,0.11562881658852514
age,abcd,200,7,0.05,6,leak_site,0.07870695746055849,-0.08057889737868162,0.8974620367536845,0.09921500277231612
attn,abcd,100,5,0.05,4,leak_site,0.010768674374358281,-0.014677298403060535,0.9270387613895062,0.04131496772660623
attn,hbn,400,9,0.05,6,leak_site,0.03418917000800134,-0.09855716685915628,0.9869104439812223,0.026876821290319288
mr,abcd,100,7,0.05,5,leak_site,0.04704155770629979,-0.0034041396737576335,0.9368701119539112,0.06359523753113693
mr,hcpd,300,1,0.05,5,leak_site,0.3471145546266497,0.11795797068534475,0.9946827281773613,0.35364677719398324
age,hbn,100,4,0.05,1,leak_site,0.41051149424465067,0.16234616724520767,0.9894766724245764,0.42070248847640995
age,abcd,100,9,0.05,3,leak_site,0.11491815897298431,-0.01951402374941824,0.9682111631448476,0.13160989244129764
age,hbn,300,6,0.05,0,leak_site,0.7113079356477999,0.4969574680070745,0.9965552684267703,0.7111906372593266
attn,abcd,100,9,0.05,0,leak_site,-0.09157520560886005,-0.063934219196907,0.9727184897570736,-0.08963641874701898
mr,hcpd,400,5,0.05,0,leak_site,0.3015544128007133,0.08463442406975519,0.993730042457215,0.31463407373727104
attn,hcpd,100,8,0.05,7,leak_site,-0.17144574816318578,-0.18894519185819814,0.9890158225118267,-0.21377863879625034
mr,abcd,100,3,0.05,8,leak_site,0.014362893203014702,-0.017595132594313112,0.9530540309505363,0.07605666414858293
attn,hbn,300,3,0.05,7,leak_site,-0.020901022501283097,-0.14713235705589178,0.9935832064378259,-0.034219662820287315
age,abcd,200,6,0.05,1,leak_site,0.012852285734172868,-0.1256081698421121,0.9183677074214315,0.03221295915838044
attn,abcd,300,4,0.05,5,leak_site,0.10194085919353062,-0.05943439001958217,0.9808168545947346,0.12002366812138607
age,abcd,400,7,0.05,2,leak_site,-0.03466464666891099,-0.2784536331865459,0.8469025663501174,0.023615798929538193
attn,abcd,400,3,0.05,0,leak_site,0.15312146086243017,-0.03600245787827849,0.9518689696420541,0.16533382814237957
attn,hbn,300,2,0.05,7,leak_site,0.1313443094518603,-0.035839782098532336,0.985758424237,0.1317887363989096
