pheno,dataset,seed,leakage_type,r,q2,r_coef,feat_overlap,r_yp,spearman_network_feat
attn,abcd,69.0,leak_covars,0.045495704275855975,-0.013968425177994792,0.9741557133475905,0.9395179627103228,0.9773700625525018,0.9573021147726604
mr,abcd,41.0,leak_covars,0.082131655381952,0.0006977835833342771,0.9831717025954065,0.9515954570037858,0.9740181698676025,0.9898978991748361
mr,abcd,4.0,leak_covars,0.09238175193788822,0.004231260457232211,0.9837230395656972,0.9583110636023516,0.9826161489999022,0.9861271474162885
age,hbn,40.0,leak_covars,0.7440012243165885,0.5532825079775756,0.993774446628765,0.9825426944971537,0.9952324739055809,0.9983042956337241
age,pnc,50.0,leak_covars,0.648379273520436,0.42037032313854994,0.9959544933663124,0.9874306839186692,0.996685062416381,0.998629025146698
mr,pnc,73.0,leak_covars,0.22727998021607712,0.00033082468102041407,0.8509597239709392,0.96248382923674,0.8655723978345408,0.9925502363000106
attn,pnc,17.0,leak_covars,-0.04381411512868367,-0.2563323059469853,0.9691862224551328,0.9511164755582378,0.9422279049054438,0.9779918467959178
mr,hbn,64.0,leak_covars,0.23023183504477746,0.04193574186998139,0.9676066817411192,0.9319300164024057,0.973851484891104,0.9925864465259485
attn,hcpd,36.0,leak_covars,-0.04614501883820782,-0.2697846358542635,0.9050423435345857,0.9378048780487804,0.8501710621167691,0.9498692163537011
mr,abcd,92.0,leak_covars,0.09168009312410076,0.003629204965319821,0.9862192164813618,0.971598593454152,0.9818394811571918,0.979686091202392
attn,pnc,15.0,leak_covars,-0.0035231538317025747,-0.18714223241911832,0.9644415263223037,0.9486349848331648,0.9364557352847149,0.9626416053598714
attn,pnc,65.0,leak_covars,-0.004614118725941568,-0.21153099230525663,0.9742760736853728,0.9586374695863747,0.9516205028725532,0.987355017049025
age,pnc,12.0,leak_covars,0.6347026851107355,0.4028247797459623,0.9957383744082476,0.9859726836471022,0.9968888510707709,0.9991161458361613
mr,hcpd,21.0,leak_covars,0.19193215528718616,-0.014510547456304534,0.9642836422969187,0.9395099540581929,0.9573451016117251,0.9818352365542041
attn,hcpd,23.0,leak_covars,-0.10564904952404457,-0.3759242355767711,0.8864337510163691,0.9379470326696308,0.7913069056632918,0.9844860561301586
attn,hbn,78.0,leak_covars,-0.030063910121634143,-0.24315071546502431,0.9760337301209875,0.9574678536102869,0.9603125655712077,0.9624618938377019
mr,abcd,36.0,leak_covars,0.09172566703827793,0.0038602638211139295,0.9833781692719109,0.962171052631579,0.9746418398371683,0.9859114292420401
attn,hcpd,49.0,leak_covars,-0.020771088119063707,-0.29721054808971825,0.8784945757461805,0.9450980392156862,0.7595184711914232,0.9806596046431377
attn,hbn,45.0,leak_covars,-0.05363172926673117,-0.24663906322301976,0.9759379504273066,0.9505740416423428,0.9506558842090341,0.9878416164681142
attn,abcd,28.0,leak_covars,0.05619589504490536,-0.009519497068253058,0.9707333126431584,0.9434257602862254,0.9702663254044465,0.9892492514159961
mr,hbn,1.0,leak_covars,0.22957009039058077,0.040074505966484986,0.9631636357217421,0.9300275482093664,0.9720262691929853,0.9939391759417313
attn,hcpd,14.0,leak_covars,-0.10090959938102302,-0.33185676877058534,0.8778935467656939,0.9382740711146624,0.8160672760737636,0.97635110758352
attn,hcpd,39.0,leak_covars,-0.029102969749687766,-0.3062003332661549,0.8786171023128703,0.9355945891378962,0.7301685141029018,0.9676552321616317
age,hbn,84.0,leak_covars,0.7452958434136806,0.5553870722672432,0.993780078684617,0.9820198928844682,0.9955433695447977,0.9972041344359334
age,abcd,54.0,leak_covars,0.10959030737915616,-0.018136724981890895,0.9211897458603612,0.9843201497776738,0.9038285863797682,0.9978173436693192
attn,hbn,61.0,leak_covars,-0.005248879273928878,-0.22760437882411466,0.9763099083591462,0.9559787059787059,0.9616434185327783,0.9636150448036692
attn,pnc,69.0,leak_covars,-0.007846341217671431,-0.2187846316565245,0.969066876033937,0.9525258673158856,0.9380689381678723,0.9867777839511516
attn,hbn,53.0,leak_covars,-0.037914864746472134,-0.2553571835321402,0.9769033131353513,0.9515199682098152,0.9551970865758019,0.9857307795858882
mr,abcd,94.0,leak_covars,0.09822950422341749,0.005805164731697232,0.9850957824287474,0.9595250944414463,0.9833502623564727,0.9873356065902831
age,hbn,77.0,leak_covars,0.7455408890554901,0.5556165336974492,0.9922697988012646,0.9859475883023168,0.9947351224828361,0.9980878851287973
age,hcpd,68.0,leak_covars,0.7772188110874237,0.603675482002694,0.9659662657415123,0.98046875,0.9809269036292315,0.986722952383008
attn,hbn,77.0,leak_covars,-0.024547613423556866,-0.2354259124702709,0.9737034918019281,0.9552,0.9459323355978434,0.9741684104192223
attn,abcd,11.0,leak_covars,0.05324040026959503,-0.010169349716205645,0.9754196489243167,0.9436491706430357,0.9769962728364713,0.9895914173923024
attn,abcd,8.0,leak_covars,0.02927052893235451,-0.03100083338683013,0.9488550564503601,0.9489508976854856,0.9598223672659322,0.9885084453503843
attn,abcd,71.0,leak_covars,0.04562732694025287,-0.012994308324430826,0.9712783072144939,0.9508123748052526,0.9715946574172198,0.9809135517390676
age,abcd,93.0,leak_covars,0.10875389163371263,-0.01720659299982219,0.9863211822577717,0.9834281474152857,0.99326013261393,0.9965365472969313
mr,pnc,41.0,leak_covars,0.205243194060441,-0.04157094370896841,0.9271741020625432,0.9644604687097605,0.9073195248845449,0.9927842118555399
mr,pnc,12.0,leak_covars,0.26707848706168896,0.03725365377298362,0.8897248341509411,0.9547169811320755,0.8961275332301438,0.9937407554385078
mr,hbn,87.0,leak_covars,0.23136237860894152,0.042790036115957886,0.9665574178994436,0.9292874559739908,0.9707472656766415,0.9900968681633089
attn,hcpd,1.0,leak_covars,-0.06469283206588076,-0.31331246546332325,0.8836077102039127,0.9339567504383401,0.7858095552967148,0.9782628305010105
attn,pnc,96.0,leak_covars,-0.007688413528977354,-0.19358709817672848,0.9103939220937897,0.9494826536822885,0.8796287604118094,0.9746022583787293
attn,abcd,39.0,leak_covars,0.04901015952853299,-0.011713055494609437,0.9744552330475346,0.9485245174173508,0.9794525622636241,0.9791099166350633
mr,abcd,12.0,leak_covars,0.09058031010161686,0.0033778031067079883,0.9824308035024323,0.9594240837696335,0.971470680324663,0.9819421645744776
mr,pnc,47.0,leak_covars,0.22168464072605165,-0.008064247530409796,0.9372642003710975,0.9550706033376123,0.9303008985654571,0.9940111125597368
attn,hbn,65.0,leak_covars,-0.026630867809836964,-0.24551411584510552,0.974560760951174,0.9575481055346161,0.9571617081160394,0.9772157393489342
attn,abcd,90.0,leak_covars,0.0581952010953971,-0.008719997975640048,0.9711166220167993,0.9447561501942167,0.9717069497876244,0.9867951102646405
age,pnc,73.0,leak_covars,0.6421019664842371,0.41209805237840236,0.995270800984795,0.9887175629936066,0.9970242822178109,0.9981600404069558
mr,hcpd,4.0,leak_covars,0.17270504580960253,-0.026941612228597034,0.9644856345950253,0.9308255491037617,0.9533281805173756,0.9730651297210674
age,pnc,44.0,leak_covars,0.6338777149740987,0.40164083397428707,0.9959365374257201,0.9883895131086142,0.9968330875507877,0.9971315691399099
age,pnc,18.0,leak_covars,0.6369515375500189,0.4056247735536207,0.9958072159444367,0.9881700554528651,0.9972572552414445,0.9982141568655747
attn,pnc,91.0,leak_covars,-0.019141371260249982,-0.19874685554956395,0.9364791259230117,0.946352367404999,0.9010208140925882,0.9528087480157541
attn,hcpd,90.0,leak_covars,-0.03726054549090419,-0.2986701514607448,0.9627256279563223,0.9409127954360228,0.9075075051361624,0.9828634307207224
mr,pnc,50.0,leak_covars,0.24835859738522362,0.009188438111345731,0.9028272958315054,0.9516045548654244,0.8978200297613135,0.9898989898989901
age,hbn,0.0,leak_covars,0.7457588429619834,0.5560740964909021,0.993272390624169,0.9841329807329052,0.9953713601142307,0.9959411938458855
age,pnc,26.0,leak_covars,0.6365374024773215,0.4050697712777013,0.9952424835757004,0.9918488329010745,0.9962267345018665,0.9993686541681905
mr,pnc,49.0,leak_covars,0.24562988902947344,0.023052807882216086,0.8636412759119175,0.9618699399320971,0.8912139772468558,0.9935064935064938
mr,pnc,25.0,leak_covars,0.20384879074418266,-0.04622737535758814,0.8490458425003992,0.9600512163892445,0.8483328592867059,0.9942459281185994
mr,pnc,27.0,leak_covars,0.2056852542333598,-0.03767071303309932,0.9553336120409383,0.9597125994354632,0.9417584809077832,0.9931454965155501
attn,pnc,46.0,leak_covars,0.0013161865345489472,-0.18263192317369725,0.9673828838199433,0.9452278765583486,0.9395956797323871,0.9853699921023994
age,pnc,55.0,leak_covars,0.6410745608236645,0.4105505897907614,0.9951224070997796,0.9882136279926336,0.9965212525796993,0.9982141261122246
attn,hbn,30.0,leak_covars,0.015301832858848959,-0.18383193144903642,0.9768366781689394,0.9606378683891804,0.9524873788141969,0.9741480413321661
mr,pnc,4.0,leak_covars,0.25395731848698716,0.01578243836854676,0.9415364453000059,0.9553874249934777,0.9351292354785306,0.9929830259385602
age,hbn,19.0,leak_covars,0.7469706963080975,0.5577799340177518,0.9928103559640569,0.9813900493733384,0.9939805776249355,0.9976550380605359
attn,hcpd,31.0,leak_covars,0.03680890289884563,-0.21440258056179373,0.8956098206337941,0.9315746084089035,0.7849449477169685,0.9691722136612948
attn,hcpd,81.0,leak_covars,-0.02636036034865738,-0.25324613960931086,0.8808470291164087,0.9350231341782338,0.7910833268787395,0.979777754362834
age,hbn,14.0,leak_covars,0.7457122196769146,0.5559348978630048,0.9933682211317261,0.9850860420650096,0.9951248907421497,0.997492468547567
mr,hbn,51.0,leak_covars,0.22242496261475742,0.03629592780603763,0.9660316318372214,0.9274370208105148,0.9740423028574232,0.9930011911653353
age,hcpd,51.0,leak_covars,0.7634600010011348,0.5826190729708363,0.9636733372198845,0.9857582755966128,0.9718219610398487,0.9951476452364934
mr,abcd,45.0,leak_covars,0.09484732204442031,0.004767734928745604,0.9845146166707545,0.9646799116997793,0.9785607643360156,0.9902406465346177
attn,hbn,28.0,leak_covars,0.0006712724283263005,-0.2052811920347335,0.9758590673255817,0.9535840188014101,0.9540363387311682,0.9730139266019201
age,hbn,95.0,leak_covars,0.7522637595712768,0.5654533587447327,0.993126982893633,0.9835815196639939,0.9947728086777607,0.9985025890600054
mr,hbn,84.0,leak_covars,0.23109437955856993,0.042094476048892826,0.9677541276957808,0.9323328785811733,0.9759261438071004,0.9863092770233128
age,hcpd,86.0,leak_covars,0.7690607554240745,0.5911974469276116,0.8969289046444953,0.9818683484430429,0.9499880065276871,0.9877157856469228
attn,abcd,3.0,leak_covars,0.04892343551195564,-0.011874137047247935,0.9767420620236821,0.9496712763545682,0.977702407113117,0.9910348685704202
attn,hcpd,64.0,leak_covars,-0.029074590055854808,-0.24819294994464203,0.9084771600892938,0.9372125574885023,0.8328020938227604,0.9775396453132478
mr,hbn,14.0,leak_covars,0.2288899255092324,0.0412756600665376,0.9660558273276788,0.9228098290598291,0.974800228626354,0.9899707788108253
age,hcpd,63.0,leak_covars,0.7785809654271667,0.6055243930475143,0.964456607872737,0.9835680751173709,0.9769162257137224,0.9969873542653784
mr,hcpd,47.0,leak_covars,0.18904478390914636,-0.01564983194703351,0.9627414138962807,0.923154701718908,0.9494210201447154,0.9863628985857145
attn,hbn,39.0,leak_covars,-0.002244304505592381,-0.21944344505093794,0.976493088750158,0.9522653721682848,0.9600859150329922,0.986921621360413
age,hbn,26.0,leak_covars,0.7447018837655637,0.5544005717742942,0.9930036169530613,0.9844990548204159,0.9939659340047939,0.9972218239269742
attn,hbn,96.0,leak_covars,-0.007640683025335576,-0.22513352489649185,0.9572329304221007,0.9515139521076588,0.9199684176524928,0.977596594393737
attn,hcpd,18.0,leak_covars,-0.04235550963469956,-0.2990638958523366,0.9253159123361708,0.933375235700817,0.8100052914188756,0.9800497853457915
attn,hcpd,26.0,leak_covars,-0.015697328942178006,-0.2059044876570879,0.9221320149196772,0.9384241442171359,0.8585070094042212,0.9851543194777017
mr,hbn,16.0,leak_covars,0.2162892988362054,0.034048943158505485,0.9648466153131906,0.9232409381663113,0.9695843022546199,0.991774891774892
mr,hcpd,69.0,leak_covars,0.1996710018582478,-0.0032710680259062652,0.9639987015691767,0.9279210925644916,0.9456519336753433,0.9836751629574474
mr,hcpd,30.0,leak_covars,0.2218280030308521,0.010211010084683059,0.963968784714583,0.9312564366632338,0.9492996361782571,0.979093386717827
age,abcd,20.0,leak_covars,0.10606797144574658,0.0009975514426100451,0.992508925409789,0.9817158931082982,0.9980219917100414,0.9950214654208303
age,pnc,1.0,leak_covars,0.6199325590595319,0.38358040659507586,0.9953556375519453,0.9890590809628009,0.9967846415760406,0.9970597256163343
mr,pnc,93.0,leak_covars,0.24608017366378615,0.03339096767100158,0.9221980083859396,0.9586776859504132,0.9309606221171751,0.9917567057296232
attn,abcd,41.0,leak_covars,0.05286966218839156,-0.01035462643634566,0.974487829073359,0.9501890148988215,0.9745043081860736,0.9825184975474844
age,hcpd,77.0,leak_covars,0.7783069070762408,0.605614580131214,0.9232897215005514,0.9793732645775486,0.9652267674347283,0.9908544836289258
age,hcpd,9.0,leak_covars,0.7704556881505649,0.5911316895937944,0.9545571709109332,0.9837019790454016,0.9798406895397023,0.9973663323472113
mr,pnc,44.0,leak_covars,0.25379776443118807,0.04813773898087581,0.9726237358057019,0.9576513380098727,0.9803461389416243,0.9925682751146909
age,hcpd,95.0,leak_covars,0.7799909809799478,0.6077972261001738,0.9646774228885779,0.9822667694680031,0.9770905865499239,0.997420403733503
mr,hbn,19.0,leak_covars,0.20224954527616312,0.021871197738960402,0.959644553751331,0.9194363201276257,0.9669209298948235,0.9782459684692808
attn,hbn,23.0,leak_covars,-0.026004871043543435,-0.2446847404883663,0.9731618803065475,0.9550804236955669,0.9572037412726611,0.9905117522400864
mr,abcd,29.0,leak_covars,0.094453485739398,0.00467999384341744,0.9857816968571402,0.9648891235480465,0.9819746830504057,0.9830801976983295
attn,pnc,40.0,leak_covars,-0.01117392594880212,-0.21670121844840917,0.9226946495559012,0.9450837876034727,0.8860873084157616,0.9744029150732378
age,hbn,67.0,leak_covars,0.742455640169577,0.5510084526980242,0.9936803409467962,0.9885013415101571,0.996016294745776,0.9970595173422759
age,hcpd,92.0,leak_covars,0.7840820576709682,0.614124207598576,0.9270905908521613,0.9785458879618594,0.969695316664957,0.9897000212915047
age,pnc,0.0,leak_covars,0.6400243272751812,0.4095638286334684,0.9945530919059227,0.986019131714496,0.9967367672967021,0.9975648913039009
attn,hbn,31.0,leak_covars,-0.0369211245630188,-0.2573660930950621,0.9757425965651955,0.9572819392012716,0.9583932522988139,0.9859119362319783
attn,hbn,66.0,leak_covars,-0.04057697791189178,-0.24924740065153106,0.9562584839192338,0.9537345618506176,0.9241782969260939,0.9863087831032661
mr,hbn,94.0,leak_covars,0.21888341510335846,0.0352773867051589,0.9658931158438793,0.9236905078436586,0.9748280590586875,0.9903858296313464
attn,hbn,68.0,leak_covars,-0.03433898064588994,-0.25888302443262057,0.9764436487889071,0.9588177339901478,0.9627941422261534,0.9935423362286406
attn,pnc,63.0,leak_covars,-0.0006100460370290859,-0.2249334845828994,0.9717815691220674,0.9504431909750202,0.9517409844871227,0.9820516984839973
mr,hbn,13.0,leak_covars,0.2145298573592911,0.03134394887782199,0.965529774809731,0.9241360691144709,0.9736777067509166,0.9906383594389236
mr,hbn,33.0,leak_covars,0.2224282297413146,0.03710524654092873,0.9618027017182813,0.9252688172043011,0.9695783900799028,0.9911070238369926
attn,pnc,74.0,leak_covars,0.0025387729869723714,-0.2111097983838759,0.948062592367421,0.9478873239436619,0.9028682247355078,0.9843239844845968
attn,pnc,62.0,leak_covars,-0.01961391646047372,-0.2367865185182989,0.9292274826038683,0.9553880627419026,0.8877231031066671,0.9812763814603859
age,hcpd,56.0,leak_covars,0.7769562125358164,0.6016567674921577,0.9532801198693156,0.9784774810681547,0.9774978722392986,0.990204745745125
attn,hbn,99.0,leak_covars,-0.012318120626346987,-0.21622735977740692,0.9716194345794131,0.9525963808025177,0.9485640952818176,0.9877523044951831
attn,hbn,67.0,leak_covars,-0.03207041754632058,-0.2624352160770933,0.9751609891396515,0.9562733897971243,0.9598453480174801,0.9709930550871821
mr,hbn,41.0,leak_covars,0.23485660496057884,0.04557242684689444,0.965987125621406,0.9172769189042582,0.9703107718925634,0.9880585170357622
age,hcpd,23.0,leak_covars,0.7672496513295964,0.5884975046856596,0.900545658777145,0.9791174152876281,0.9516230147075814,0.9834220259559855
mr,pnc,74.0,leak_covars,0.22827730742212224,0.01735659589448668,0.9285634869041308,0.9588828549262994,0.9372033307204712,0.99314549651555
attn,abcd,73.0,leak_covars,0.045907573190309144,-0.012447245196356427,0.9727683660583519,0.9485929536893419,0.974437956715559,0.9710280893840701
age,abcd,6.0,leak_covars,0.12629978167361966,0.009239618988674647,0.991996580204277,0.9859649122807017,0.9972135708934715,0.9970777118834729
age,pnc,94.0,leak_covars,0.6339910269986675,0.4018573883594617,0.993523915887081,0.9888765294771968,0.9957985219240905,0.9972580005051052
mr,abcd,49.0,leak_covars,0.10727644692737788,0.008459900093423567,0.98514416948216,0.9628706012745913,0.9838837787930472,0.9862541717127374
mr,abcd,93.0,leak_covars,0.08047846221208621,-0.0005927462575932019,0.9843894897340385,0.962002567394095,0.9821270005628576,0.9870118158005309
attn,pnc,8.0,leak_covars,-0.01128031438730124,-0.22202370935121407,0.923645920626012,0.9507310234328059,0.8791968997677372,0.9652945632959341
age,hcpd,35.0,leak_covars,0.7731477339823156,0.5962125516698686,0.9547595265341997,0.9885826771653543,0.9828916449262063,0.9945694338313797
mr,pnc,5.0,leak_covars,0.22428932267139795,-0.00810666176742214,0.9427201844140458,0.9591321897073662,0.9365753144132111,0.9935062592445614
attn,hcpd,61.0,leak_covars,-0.02284967795028299,-0.3058475706140549,0.8902989036037604,0.9390070921985816,0.7631903028104593,0.9784593282494889
attn,hbn,64.0,leak_covars,-0.05056150186509711,-0.26717930716073846,0.9774927243852248,0.9526223435367518,0.9560006891486805,0.9862358847563291
mr,hbn,44.0,leak_covars,0.22709210161146623,0.04089068164860066,0.9621886667951749,0.9290703922622247,0.9675064048153863,0.9929290384902278
attn,hbn,76.0,leak_covars,-0.034274280454580405,-0.25316582997566917,0.9763056862557103,0.9553028817878847,0.9605194419295391,0.9726872570914776
attn,hbn,89.0,leak_covars,-0.08088379522606166,-0.28324211661536647,0.9749267652113716,0.9554388013232147,0.9589443305643568,0.9858926251984412
mr,abcd,99.0,leak_covars,0.09028678037573902,0.003293503242477347,0.9840543712936335,0.9690966719492868,0.982125264796402,0.9743117967422257
age,hcpd,46.0,leak_covars,0.7741306385352333,0.5989129498134964,0.9013056034313539,0.9856402074192262,0.9568105374540999,0.9918103765744674
mr,hcpd,45.0,leak_covars,0.1612373429959317,-0.03778087873340863,0.9595486503189581,0.9323536863440588,0.948887619912318,0.9828631214373333
age,abcd,88.0,leak_covars,0.12157436977081482,0.0070362936872032655,0.9935859769999782,0.979694158937077,0.9981228277369564,0.9979074593487995
age,pnc,98.0,leak_covars,0.6395409965248251,0.4089652579467242,0.9961037756565343,0.9899702823179792,0.9970717867774951,0.9968431497968991
mr,hbn,75.0,leak_covars,0.2276301610407045,0.04082446686606178,0.9646046211255479,0.9361004915346806,0.9729484297980343,0.9910709455587191
mr,hcpd,74.0,leak_covars,0.18581790507812534,-0.020321106515815313,0.9649068698207283,0.9252945600401103,0.9544069328766628,0.9828093152382741
attn,abcd,4.0,leak_covars,0.05635375211672039,-0.009629259340847574,0.9770367370296774,0.9539559014267186,0.9795526294086353,0.9830954929696105
mr,abcd,53.0,leak_covars,0.08131206629140045,-0.00024675554756092843,0.9847513924360256,0.9655442443226312,0.9816135930784036,0.9819775952033867
mr,hcpd,90.0,leak_covars,0.2348155891558642,0.02596820978628711,0.9624841068071085,0.9294206931444473,0.949313071034309,0.9803567887018482
age,abcd,68.0,leak_covars,0.11916849641916036,0.0064201316834303634,0.9926314078627948,0.9858051884483603,0.9980186446917669,0.9971680587491365
mr,pnc,52.0,leak_covars,0.232150321114644,0.01745825922425681,0.97374409101218,0.9593621399176955,0.9818102745694087,0.993650336168709
attn,hcpd,38.0,leak_covars,-0.04454535959217916,-0.3401016811277855,0.890283052106411,0.9402241594022416,0.7889654118977387,0.9885638010029221
attn,pnc,71.0,leak_covars,-0.05359452133317552,-0.25320154217085045,0.9700312347352767,0.9448522118627256,0.9471983207352423,0.9837289854154451
mr,hbn,96.0,leak_covars,0.22718969073177406,0.03995490084675868,0.9640789059228796,0.934610123119015,0.9701516835843969,0.9942277866421607
age,hcpd,4.0,leak_covars,0.77385692440852,0.5985432893781186,0.9009220468007538,0.982571649883811,0.9574862561397881,0.9927483951911394
attn,pnc,43.0,leak_covars,-0.027011793248526598,-0.21211742960330016,0.9653175027179637,0.9471231766612642,0.9453276295053187,0.9850643962624912
age,abcd,12.0,leak_covars,0.13454876798120305,0.012858648208137202,0.992486162506813,0.9819050012565972,0.9977098906986782,0.9920975741203762
